dataset,run_id,repeat,fold,threshold_strategy,selected_threshold,threshold,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,gmean,tn,fp,fn,tp,cost_FN1_FP1,cost_FN2_FP1,cost_FN5_FP1,cost_FN10_FP1,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100,reference_recall_adverse,reference_precision_adverse,reference_f1_adverse,reference_balanced_accuracy,reference_mcc,reference_gmean,reference_cost_FN1_FP1_per100,reference_cost_FN2_FP1_per100,reference_cost_FN5_FP1_per100,reference_cost_FN10_FP1_per100,delta_recall_adverse,delta_precision_adverse,delta_f1_adverse,delta_balanced_accuracy,delta_mcc,delta_gmean,delta_cost_FN1_FP1_per100,delta_cost_FN2_FP1_per100,delta_cost_FN5_FP1_per100,delta_cost_FN10_FP1_per100
German Credit,R3_F1,3,1,MaxMCC,0.3417218257397753,0.3417218257397753,0.73,0.5,0.7407407407407407,0.726027397260274,0.5970149253731343,0.7333840690005073,0.4229985652856547,0.7333471702029315,106,40,14,40,54,68,110,180,27.0,34.0,55.0,90.0,0.48148148148148145,0.6666666666666666,0.5591397849462365,0.6962201927955353,0.4397458605665948,0.6622762586107339,20.5,34.5,76.5,146.5,0.25925925925925924,-0.16666666666666663,0.03787514042689777,0.03716387620497208,-0.0167472952809401,0.07107091159219758,6.5,-0.5,-21.5,-56.5
German Credit,R3_F1,3,1,MaxF1,0.3417218257397753,0.3417218257397753,0.73,0.5,0.7407407407407407,0.726027397260274,0.5970149253731343,0.7333840690005073,0.4229985652856547,0.7333471702029315,106,40,14,40,54,68,110,180,27.0,34.0,55.0,90.0,0.48148148148148145,0.6666666666666666,0.5591397849462365,0.6962201927955353,0.4397458605665948,0.6622762586107339,20.5,34.5,76.5,146.5,0.25925925925925924,-0.16666666666666663,0.03787514042689777,0.03716387620497208,-0.0167472952809401,0.07107091159219758,6.5,-0.5,-21.5,-56.5
German Credit,R3_F1,3,1,MaxBalancedAccuracy,0.3417218257397753,0.3417218257397753,0.73,0.5,0.7407407407407407,0.726027397260274,0.5970149253731343,0.7333840690005073,0.4229985652856547,0.7333471702029315,106,40,14,40,54,68,110,180,27.0,34.0,55.0,90.0,0.48148148148148145,0.6666666666666666,0.5591397849462365,0.6962201927955353,0.4397458605665948,0.6622762586107339,20.5,34.5,76.5,146.5,0.25925925925925924,-0.16666666666666663,0.03787514042689777,0.03716387620497208,-0.0167472952809401,0.07107091159219758,6.5,-0.5,-21.5,-56.5
German Credit,R3_F1,3,1,MinCost_FN2_FP1,0.3417218257397753,0.3417218257397753,0.73,0.5,0.7407407407407407,0.726027397260274,0.5970149253731343,0.7333840690005073,0.4229985652856547,0.7333471702029315,106,40,14,40,54,68,110,180,27.0,34.0,55.0,90.0,0.48148148148148145,0.6666666666666666,0.5591397849462365,0.6962201927955353,0.4397458605665948,0.6622762586107339,20.5,34.5,76.5,146.5,0.25925925925925924,-0.16666666666666663,0.03787514042689777,0.03716387620497208,-0.0167472952809401,0.07107091159219758,6.5,-0.5,-21.5,-56.5
German Credit,R3_F1,3,1,MinCost_FN5_FP1,0.1790984730795535,0.1790984730795535,0.585,0.3875968992248062,0.9259259259259259,0.4589041095890411,0.546448087431694,0.6924150177574835,0.35704112243976655,0.6518521401226244,67,79,4,50,83,87,99,119,41.5,43.5,49.5,59.5,0.48148148148148145,0.6666666666666666,0.5591397849462365,0.6962201927955353,0.4397458605665948,0.6622762586107339,20.5,34.5,76.5,146.5,0.4444444444444445,-0.2790697674418604,-0.012691697514542466,-0.003805175038051778,-0.08270473812682827,-0.010424118488109535,21.0,9.0,-27.0,-87.0
German Credit,R3_F1,3,1,MinCost_FN10_FP1,0.09122667108809794,0.09122667108809794,0.475,0.33962264150943394,1.0,0.2808219178082192,0.5070422535211268,0.6404109589041096,0.3088259728710857,0.5299263324351973,41,105,0,54,105,105,105,105,52.5,52.5,52.5,52.5,0.48148148148148145,0.6666666666666666,0.5591397849462365,0.6962201927955353,0.4397458605665948,0.6622762586107339,20.5,34.5,76.5,146.5,0.5185185185185186,-0.3270440251572327,-0.052097531425109755,-0.05580923389142567,-0.1309198876955091,-0.13234992617553665,32.0,18.0,-24.0,-94.0
German Credit,R3_F2,3,2,Fixed0.50,0.5,0.5,0.76,0.6875,0.5,0.8880597014925373,0.5789473684210527,0.6940298507462687,0.427248453669066,0.6663556488439702,119,15,33,33,48,81,180,345,24.0,40.5,90.0,172.5,0.5,0.6875,0.5789473684210527,0.6940298507462687,0.427248453669066,0.6663556488439702,24.0,40.5,90.0,172.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Credit,R3_F2,3,2,MaxMCC,0.33573301695624014,0.33573301695624014,0.74,0.5897435897435898,0.696969696969697,0.7611940298507462,0.6388888888888888,0.7290818634102216,0.441690291120268,0.7283743352975975,102,32,20,46,52,72,132,232,26.0,36.0,66.0,116.0,0.5,0.6875,0.5789473684210527,0.6940298507462687,0.427248453669066,0.6663556488439702,24.0,40.5,90.0,172.5,0.19696969696969702,-0.09775641025641024,0.059941520467836185,0.03505201266395297,0.014441837451201978,0.06201868645362729,2.0,-4.5,-24.0,-56.5
German Credit,R3_F2,3,2,MaxF1,0.33573301695624014,0.33573301695624014,0.74,0.5897435897435898,0.696969696969697,0.7611940298507462,0.6388888888888888,0.7290818634102216,0.441690291120268,0.7283743352975975,102,32,20,46,52,72,132,232,26.0,36.0,66.0,116.0,0.5,0.6875,0.5789473684210527,0.6940298507462687,0.427248453669066,0.6663556488439702,24.0,40.5,90.0,172.5,0.19696969696969702,-0.09775641025641024,0.059941520467836185,0.03505201266395297,0.014441837451201978,0.06201868645362729,2.0,-4.5,-24.0,-56.5
German Credit,R3_F2,3,2,MaxBalancedAccuracy,0.33573301695624014,0.33573301695624014,0.74,0.5897435897435898,0.696969696969697,0.7611940298507462,0.6388888888888888,0.7290818634102216,0.441690291120268,0.7283743352975975,102,32,20,46,52,72,132,232,26.0,36.0,66.0,116.0,0.5,0.6875,0.5789473684210527,0.6940298507462687,0.427248453669066,0.6663556488439702,24.0,40.5,90.0,172.5,0.19696969696969702,-0.09775641025641024,0.059941520467836185,0.03505201266395297,0.014441837451201978,0.06201868645362729,2.0,-4.5,-24.0,-56.5
