dataset,run_id,repeat,fold,threshold_strategy,selected_threshold,threshold,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,gmean,tn,fp,fn,tp,cost_FN1_FP1,cost_FN2_FP1,cost_FN5_FP1,cost_FN10_FP1,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100
German Credit,R3_F1,3,1,MinCost_FN10_FP1,0.09122667108809794,0.09122667108809794,0.475,0.33962264150943394,1.0,0.2808219178082192,0.5070422535211268,0.6404109589041096,0.3088259728710857,0.5299263324351973,41,105,0,54,105,105,105,105,52.5,52.5,52.5,52.5
German Credit,R3_F2,3,2,Fixed0.50,0.5,0.5,0.76,0.6875,0.5,0.8880597014925373,0.5789473684210527,0.6940298507462687,0.427248453669066,0.6663556488439702,119,15,33,33,48,81,180,345,24.0,40.5,90.0,172.5
German Credit,R3_F2,3,2,MaxMCC,0.33573301695624014,0.33573301695624014,0.74,0.5897435897435898,0.696969696969697,0.7611940298507462,0.6388888888888888,0.7290818634102216,0.441690291120268,0.7283743352975975,102,32,20,46,52,72,132,232,26.0,36.0,66.0,116.0
German Credit,R3_F2,3,2,MaxF1,0.33573301695624014,0.33573301695624014,0.74,0.5897435897435898,0.696969696969697,0.7611940298507462,0.6388888888888888,0.7290818634102216,0.441690291120268,0.7283743352975975,102,32,20,46,52,72,132,232,26.0,36.0,66.0,116.0
German Credit,R3_F2,3,2,MaxBalancedAccuracy,0.33573301695624014,0.33573301695624014,0.74,0.5897435897435898,0.696969696969697,0.7611940298507462,0.6388888888888888,0.7290818634102216,0.441690291120268,0.7283743352975975,102,32,20,46,52,72,132,232,26.0,36.0,66.0,116.0
German Credit,R3_F2,3,2,MinCost_FN2_FP1,0.33573301695624014,0.33573301695624014,0.74,0.5897435897435898,0.696969696969697,0.7611940298507462,0.6388888888888888,0.7290818634102216,0.441690291120268,0.7283743352975975,102,32,20,46,52,72,132,232,26.0,36.0,66.0,116.0
German Credit,R3_F2,3,2,MinCost_FN5_FP1,0.16451686071471724,0.16451686071471724,0.57,0.427536231884058,0.8939393939393939,0.41044776119402987,0.5784313725490197,0.6521935775667119,0.30946768107678035,0.6057354396810312,55,79,7,59,86,93,114,149,43.0,46.5,57.0,74.5
German Credit,R3_F2,3,2,MinCost_FN10_FP1,0.10348243134336703,0.10348243134336703,0.5,0.39375,0.9545454545454546,0.27611940298507465,0.5575221238938053,0.6153324287652646,0.2711538739126848,0.5133892490413172,37,97,3,63,100,103,112,127,50.0,51.5,56.0,63.5
German Credit,R3_F3,3,3,Fixed0.50,0.5,0.5,0.76,0.5135135135135135,0.3877551020408163,0.8807947019867549,0.4418604651162791,0.6342749020137857,0.29745186017238257,0.5844079393248217,133,18,30,19,48,78,168,318,24.0,39.0,84.0,159.0
German Credit,R3_F3,3,3,MaxMCC,0.4691197183091848,0.4691197183091848,0.77,0.5333333333333333,0.4897959183673469,0.8609271523178808,0.5106382978723404,0.6753615353426139,0.36122578418235873,0.6493678504645277,130,21,25,24,46,71,146,271,23.0,35.5,73.0,135.5
German Credit,R3_F3,3,3,MaxF1,0.36758488540234685,0.36758488540234685,0.765,0.5151515151515151,0.6938775510204082,0.7880794701986755,0.591304347826087,0.7409785106095419,0.4408293058496567,0.7394799880936047,119,32,15,34,47,62,107,182,23.5,31.0,53.5,91.0
German Credit,R3_F3,3,3,MaxBalancedAccuracy,0.36758488540234685,0.36758488540234685,0.765,0.5151515151515151,0.6938775510204082,0.7880794701986755,0.591304347826087,0.7409785106095419,0.4408293058496567,0.7394799880936047,119,32,15,34,47,62,107,182,23.5,31.0,53.5,91.0
German Credit,R3_F3,3,3,MinCost_FN2_FP1,0.36758488540234685,0.36758488540234685,0.765,0.5151515151515151,0.6938775510204082,0.7880794701986755,0.591304347826087,0.7409785106095419,0.4408293058496567,0.7394799880936047,119,32,15,34,47,62,107,182,23.5,31.0,53.5,91.0
German Credit,R3_F3,3,3,MinCost_FN5_FP1,0.13710621981371446,0.13710621981371446,0.515,0.3235294117647059,0.8979591836734694,0.39072847682119205,0.4756756756756757,0.6443438302473308,0.2661676642784046,0.592332865949827,59,92,5,44,97,102,117,142,48.5,51.0,58.5,71.0
German Credit,R3_F3,3,3,MinCost_FN10_FP1,0.07560315085927545,0.07560315085927545,0.39,0.2787878787878788,0.9387755102040817,0.2119205298013245,0.42990654205607476,0.5753480200027031,0.1705738136579167,0.44603341072946284,32,119,3,46,122,125,134,149,61.0,62.5,67.0,74.5
German Credit,R3_F4,3,4,Fixed0.50,0.5,0.5,0.71,0.6170212765957447,0.42028985507246375,0.8625954198473282,0.5,0.641442637459896,0.3171581606101202,0.6021130325726264,113,18,40,29,58,98,218,418,29.0,49.0,109.0,209.0
