dataset,run_id,repeat,fold,feature_regime,weight_strategy,scale_pos_weight,source_features,transformed_features,feature_selection_runtime_seconds,model_runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100
Australian Credit Approval,R1_F3,1,3,FrozenChi2Top75,Balanced,0.8217821782178217,11,37,0.037980400025844574,0.23733159998664632,0.8840579710144928,0.9,0.9,0.8620689655172413,0.9,0.8810344827586207,0.7620689655172413,0.9338362068965517,0.9435103513656452,0.8808303292720552,0.7793103448275862,50,8,8,72,11.594202898550725,17.391304347826086,34.78260869565217,63.768115942028984
Australian Credit Approval,R1_F3,1,3,FrozenChi2Top75,Cost2,1.6435643564356435,11,37,0.037980400025844574,0.24046040000393987,0.8768115942028986,0.8705882352941177,0.925,0.8103448275862069,0.896969696969697,0.8676724137931034,0.746281429171255,0.9325431034482758,0.9443898155913575,0.865776510144068,0.7668103448275861,47,11,6,74,12.318840579710145,16.666666666666668,29.71014492753623,51.44927536231884
Australian Credit Approval,R1_F3,1,3,FrozenChi2Top75,Cost5,4.108910891089109,11,37,0.037980400025844574,0.24146799999289215,0.855072463768116,0.8409090909090909,0.925,0.7586206896551724,0.8809523809523809,0.8418103448275862,0.7020173572682915,0.9327586206896552,0.9485095142367488,0.8376897623410677,0.8043103448275862,44,14,6,74,14.492753623188406,18.840579710144926,31.884057971014492,53.6231884057971
Australian Credit Approval,R1_F4,1,4,AllFeatures,Unweighted,1.0,14,42,0.0,0.26318369997898117,0.8623188405797102,0.8076923076923077,0.9402985074626866,0.7887323943661971,0.8689655172413793,0.8645154509144419,0.7350038036331852,0.9217994534370402,0.8816515481189896,0.8611874901611184,0.7555181837292411,56,15,4,63,13.768115942028986,16.666666666666668,25.36231884057971,39.85507246376812
Australian Credit Approval,R1_F4,1,4,AllFeatures,Balanced,0.7468354430379747,14,42,0.0,0.2584894000319764,0.855072463768116,0.8051948051948052,0.9253731343283582,0.7887323943661971,0.8611111111111112,0.8570527643472776,0.7186520869021499,0.9199075047298717,0.8808409271681843,0.8543253290877888,0.7555181837292411,56,15,5,62,14.492753623188406,18.115942028985508,28.985507246376812,47.10144927536232
Australian Credit Approval,R1_F4,1,4,AllFeatures,Cost2,1.4936708860759493,14,42,0.0,0.3123300999868661,0.8695652173913043,0.810126582278481,0.9552238805970149,0.7887323943661971,0.8767123287671232,0.871978137481606,0.7515786513951523,0.9180155560227033,0.8712299419825978,0.8679954023490297,0.7456380071473617,56,15,3,64,13.043478260869565,15.217391304347826,21.73913043478261,32.608695652173914
Australian Credit Approval,R1_F4,1,4,AllFeatures,Cost5,3.7341772151898733,14,42,0.0,0.26108249998651445,0.855072463768116,0.7831325301204819,0.9701492537313433,0.7464788732394366,0.8666666666666667,0.85831406348539,0.7315432957884377,0.9159133907925163,0.8657044341095038,0.8509970163281734,0.7588816480975404,53,18,2,65,14.492753623188406,15.942028985507246,20.28985507246377,27.536231884057973
Australian Credit Approval,R1_F4,1,4,FrozenChi2Top75,Unweighted,1.0,11,37,0.03819240001030266,0.2400729000219144,0.8478260869565217,0.8026315789473685,0.9104477611940298,0.7887323943661971,0.8531468531468531,0.8495900777801135,0.7025108373018846,0.911709060332142,0.8618599544264596,0.847407601235622,0.7298717679209585,56,15,6,61,15.217391304347826,19.565217391304348,32.608695652173914,54.34782608695652
Australian Credit Approval,R1_F4,1,4,FrozenChi2Top75,Balanced,0.7468354430379747,11,37,0.03819240001030266,0.23549130000174046,0.8405797101449275,0.8082191780821918,0.8805970149253731,0.8028169014084507,0.8428571428571429,0.8417069581669119,0.6842775399930485,0.9138112255623292,0.8698599587268862,0.840808044033785,0.7298717679209585,57,14,8,59,15.942028985507246,21.73913043478261,39.130434782608695,68.1159420289855
Australian Credit Approval,R1_F4,1,4,FrozenChi2Top75,Cost2,1.4936708860759493,11,37,0.03819240001030266,0.23919049999676645,0.8405797101449275,0.7777777777777778,0.9402985074626866,0.7464788732394366,0.8513513513513513,0.8433886903510617,0.6971121007998781,0.9112886272861047,0.8701392448734518,0.8378024649996384,0.7174689930628547,53,18,4,63,15.942028985507246,18.840579710144926,27.536231884057973,42.028985507246375
Australian Credit Approval,R1_F4,1,4,FrozenChi2Top75,Cost5,3.7341772151898733,11,37,0.03819240001030266,0.23980270000174642,0.8333333333333334,0.75,0.9850746268656716,0.6901408450704225,0.8516129032258064,0.837607735968047,0.7020735677358526,0.907504729871768,0.8727582147966854,0.8245242479408994,0.6817321841496742,49,22,1,66,16.666666666666668,17.391304347826086,19.565217391304348,23.18840579710145
Australian Credit Approval,R1_F5,1,5,AllFeatures,Unweighted,1.0,14,42,0.0,0.2585440999828279,0.9202898550724637,0.9565217391304348,0.8918918918918919,0.953125,0.9230769230769231,0.9225084459459459,0.8427953808926898,0.9451013513513514,0.9548840161032203,0.9220002491645322,0.856418918918919,61,3,8,66,7.971014492753623,13.768115942028986,31.159420289855074,60.14492753623188
Australian Credit Approval,R1_F5,1,5,AllFeatures,Balanced,0.7864077669902912,14,42,0.0,0.2606532999780029,0.9202898550724637,0.9436619718309859,0.9054054054054054,0.9375,0.9241379310344827,0.9214527027027026,0.8410428247619354,0.9472128378378379,0.958572220076586,0.9213129585366568,0.856418918918919,60,4,7,67,7.971014492753623,13.043478260869565,28.26086956521739,53.6231884057971
Australian Credit Approval,R1_F5,1,5,AllFeatures,Cost2,1.5728155339805825,14,42,0.0,0.2547681999858469,0.9202898550724637,0.9436619718309859,0.9054054054054054,0.9375,0.9241379310344827,0.9214527027027026,0.8410428247619354,0.9474239864864865,0.9587109354771906,0.9213129585366568,0.8450168918918919,60,4,7,67,7.971014492753623,13.043478260869565,28.26086956521739,53.6231884057971
Australian Credit Approval,R1_F5,1,5,AllFeatures,Cost5,3.9320388349514563,14,42,0.0,0.2719689999939874,0.9202898550724637,0.9315068493150684,0.918918918918919,0.921875,0.9251700680272109,0.9203969594594594,0.8399961594993663,0.9459459459459459,0.9570677341959162,0.9203957726860649,0.8450168918918919,59,5,6,68,7.971014492753623,12.318840579710145,25.36231884057971,47.10144927536232
