dataset,run_id,repeat,fold,selector,subset,subset_fraction,selected_source_features,selected_transformed_features,feature_reduction_pct,selector_runtime_seconds_for_fold,xgb_runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp
German Credit,R2_F3,2,3,Chi2,Top75,0.75,15,52,25.0,0.9701675000251271,0.36099139996804297,0.735,0.6428571428571429,0.4153846153846154,0.8888888888888888,0.5046728971962616,0.6521367521367522,0.3498924006676127,0.7536182336182335,0.6167265083174625,0.6076436202502,0.45299145299145305,120,15,38,27
German Credit,R2_F3,2,3,MI,Top25,0.25,5,8,75.0,0.9701675000251271,0.2759444999974221,0.7,0.5555555555555556,0.38461538461538464,0.8518518518518519,0.45454545454545453,0.6182336182336182,0.26522987005040677,0.69994301994302,0.5145955603538735,0.5723943812052383,0.33447293447293447,115,20,40,25
German Credit,R2_F3,2,3,MI,Top50,0.5,10,27,50.0,0.9701675000251271,0.292551199963782,0.69,0.5319148936170213,0.38461538461538464,0.837037037037037,0.44642857142857145,0.6108262108262108,0.24485072749158443,0.7178347578347578,0.5759884624000093,0.5673952078906923,0.37037037037037035,113,22,40,25
German Credit,R2_F3,2,3,MI,Top75,0.75,15,51,25.0,0.9701675000251271,0.33283440000377595,0.74,0.6382978723404256,0.46153846153846156,0.8740740740740741,0.5357142857142857,0.6678062678062678,0.3707379909834016,0.7619373219373219,0.6241098609852156,0.6351525827852733,0.4524216524216524,118,17,35,30
German Credit,R2_F3,2,3,L1,Top25,0.25,5,12,75.0,0.9701675000251271,0.27212400001008064,0.65,0.45098039215686275,0.35384615384615387,0.7925925925925926,0.39655172413793105,0.5732193732193732,0.15736253488996949,0.6664957264957265,0.49156590975045195,0.5295808157928689,0.2934472934472934,107,28,42,23
German Credit,R2_F3,2,3,L1,Top50,0.5,10,31,50.0,0.9701675000251271,0.3040414999704808,0.72,0.5882352941176471,0.46153846153846156,0.8444444444444444,0.5172413793103449,0.652991452991453,0.3288080981942164,0.7417663817663819,0.5728015980907512,0.6242944735808493,0.44102564102564107,114,21,35,30
German Credit,R2_F3,2,3,L1,Top75,0.75,15,48,25.0,0.9701675000251271,0.31908390001626685,0.69,0.5319148936170213,0.38461538461538464,0.837037037037037,0.44642857142857145,0.6108262108262108,0.24485072749158443,0.7457549857549858,0.5964994857045683,0.5673952078906923,0.45868945868945865,113,22,40,25
German Credit,R2_F3,2,3,RF,Top25,0.25,5,5,75.0,0.9701675000251271,0.22862660000100732,0.655,0.4473684210526316,0.26153846153846155,0.8444444444444444,0.3300970873786408,0.552991452991453,0.12653482838605554,0.607977207977208,0.4490492510694949,0.46995180694907523,0.24387464387464391,114,21,48,17
German Credit,R2_F3,2,3,RF,Top50,0.5,10,21,50.0,0.9701675000251271,0.2857140999985859,0.69,0.5319148936170213,0.38461538461538464,0.837037037037037,0.44642857142857145,0.6108262108262108,0.24485072749158443,0.7205698005698007,0.5448928583206638,0.5673952078906923,0.3863247863247864,113,22,40,25
German Credit,R2_F3,2,3,RF,Top75,0.75,15,41,25.0,0.9701675000251271,0.31655499996850267,0.7,0.5555555555555556,0.38461538461538464,0.8518518518518519,0.45454545454545453,0.6182336182336182,0.26522987005040677,0.7376638176638177,0.5885042920129749,0.5723943812052383,0.44558404558404563,115,20,40,25
