dataset,run_id,repeat,fold,selector,subset,subset_fraction,selected_source_features,total_source_features,feature_reduction_pct,selected_features
German Credit,R4_F3,4,3,Chi2,Top50,0.5,10,20,50.0,status;duration;other_installment_plans;savings;housing;credit_history;property;amount;employment_duration;foreign_worker
German Credit,R4_F3,4,3,Chi2,Top75,0.75,15,20,25.0,status;duration;other_installment_plans;savings;housing;credit_history;property;amount;employment_duration;foreign_worker;purpose;personal_status_sex;other_debtors;age;people_liable
German Credit,R4_F3,4,3,MI,Top25,0.25,5,20,75.0,duration;age;number_credits;amount;status
German Credit,R4_F3,4,3,MI,Top50,0.5,10,20,50.0,duration;age;number_credits;amount;status;foreign_worker;other_installment_plans;people_liable;savings;housing
German Credit,R4_F3,4,3,MI,Top75,0.75,15,20,25.0,duration;age;number_credits;amount;status;foreign_worker;other_installment_plans;people_liable;savings;housing;credit_history;property;personal_status_sex;employment_duration;purpose
German Credit,R4_F3,4,3,L1,Top25,0.25,5,20,75.0,status;duration;foreign_worker;installment_rate;savings
German Credit,R4_F3,4,3,L1,Top50,0.5,10,20,50.0,status;duration;foreign_worker;installment_rate;savings;credit_history;other_debtors;amount;other_installment_plans;housing
German Credit,R4_F3,4,3,L1,Top75,0.75,15,20,25.0,status;duration;foreign_worker;installment_rate;savings;credit_history;other_debtors;amount;other_installment_plans;housing;property;purpose;age;number_credits;employment_duration
German Credit,R4_F3,4,3,RF,Top25,0.25,5,20,75.0,amount;age;duration;installment_rate;present_residence
German Credit,R4_F3,4,3,RF,Top50,0.5,10,20,50.0,amount;age;duration;installment_rate;present_residence;number_credits;status;property;telephone;credit_history
German Credit,R4_F3,4,3,RF,Top75,0.75,15,20,25.0,amount;age;duration;installment_rate;present_residence;number_credits;status;property;telephone;credit_history;other_installment_plans;employment_duration;personal_status_sex;savings;job
German Credit,R4_F3,4,3,RFE,Top25,0.25,5,20,75.0,status;duration;foreign_worker;credit_history;savings
German Credit,R4_F3,4,3,RFE,Top50,0.5,10,20,50.0,status;duration;foreign_worker;credit_history;savings;other_debtors;installment_rate;purpose;housing;amount
German Credit,R4_F3,4,3,RFE,Top75,0.75,15,20,25.0,status;duration;foreign_worker;credit_history;savings;other_debtors;installment_rate;purpose;housing;amount;property;other_installment_plans;age;employment_duration;number_credits
German Credit,R4_F3,4,3,EqualConsensus,Top25,0.25,5,20,75.0,duration;status;amount;savings;credit_history
German Credit,R4_F3,4,3,EqualConsensus,Top50,0.5,10,20,50.0,duration;status;amount;savings;credit_history;foreign_worker;other_installment_plans;age;property;housing
German Credit,R4_F3,4,3,EqualConsensus,Top75,0.75,15,20,25.0,duration;status;amount;savings;credit_history;foreign_worker;other_installment_plans;age;property;housing;installment_rate;number_credits;other_debtors;purpose;employment_duration
German Credit,R4_F4,4,4,Chi2,Top25,0.25,5,20,75.0,status;duration;other_installment_plans;savings;housing
German Credit,R4_F4,4,4,Chi2,Top50,0.5,10,20,50.0,status;duration;other_installment_plans;savings;housing;credit_history;personal_status_sex;property;amount;employment_duration
German Credit,R4_F4,4,4,Chi2,Top75,0.75,15,20,25.0,status;duration;other_installment_plans;savings;housing;credit_history;personal_status_sex;property;amount;employment_duration;purpose;installment_rate;foreign_worker;age;other_debtors
German Credit,R4_F4,4,4,MI,Top25,0.25,5,20,75.0,amount;duration;status;other_installment_plans;housing
German Credit,R4_F4,4,4,MI,Top50,0.5,10,20,50.0,amount;duration;status;other_installment_plans;housing;savings;credit_history;foreign_worker;personal_status_sex;property
German Credit,R4_F4,4,4,MI,Top75,0.75,15,20,25.0,amount;duration;status;other_installment_plans;housing;savings;credit_history;foreign_worker;personal_status_sex;property;employment_duration;purpose;number_credits;telephone;other_debtors
German Credit,R4_F4,4,4,L1,Top25,0.25,5,20,75.0,status;installment_rate;amount;duration;foreign_worker
German Credit,R4_F4,4,4,L1,Top50,0.5,10,20,50.0,status;installment_rate;amount;duration;foreign_worker;personal_status_sex;property;purpose;age;credit_history
German Credit,R4_F4,4,4,L1,Top75,0.75,15,20,25.0,status;installment_rate;amount;duration;foreign_worker;personal_status_sex;property;purpose;age;credit_history;number_credits;savings;people_liable;telephone;other_installment_plans
German Credit,R4_F4,4,4,RF,Top25,0.25,5,20,75.0,amount;age;duration;installment_rate;present_residence
German Credit,R4_F4,4,4,RF,Top50,0.5,10,20,50.0,amount;age;duration;installment_rate;present_residence;number_credits;status;property;telephone;employment_duration
German Credit,R4_F4,4,4,RF,Top75,0.75,15,20,25.0,amount;age;duration;installment_rate;present_residence;number_credits;status;property;telephone;employment_duration;people_liable;personal_status_sex;credit_history;other_installment_plans;job
German Credit,R4_F4,4,4,RFE,Top25,0.25,5,20,75.0,foreign_worker;status;amount;installment_rate;purpose
German Credit,R4_F4,4,4,RFE,Top50,0.5,10,20,50.0,foreign_worker;status;amount;installment_rate;purpose;duration;personal_status_sex;property;credit_history;other_installment_plans
German Credit,R4_F4,4,4,RFE,Top75,0.75,15,20,25.0,foreign_worker;status;amount;installment_rate;purpose;duration;personal_status_sex;property;credit_history;other_installment_plans;savings;other_debtors;age;housing;number_credits
German Credit,R4_F4,4,4,EqualConsensus,Top25,0.25,5,20,75.0,status;amount;duration;property;installment_rate
German Credit,R4_F4,4,4,EqualConsensus,Top50,0.5,10,20,50.0,status;amount;duration;property;installment_rate;personal_status_sex;credit_history;other_installment_plans;foreign_worker;savings
