dataset,run_id,repeat,fold,selector,subset,subset_fraction,selected_source_features,selected_transformed_features,feature_reduction_pct,selector_runtime_seconds_for_fold,xgb_runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp,baseline_roc_auc,baseline_pr_auc,baseline_recall_adverse,baseline_f1_adverse,baseline_balanced_accuracy,baseline_mcc,baseline_gmean,baseline_ks_statistic,delta_roc_auc,delta_pr_auc,delta_recall_adverse,delta_f1_adverse,delta_balanced_accuracy,delta_mcc,delta_gmean,delta_ks_statistic
German Credit,R1_F2,1,2,RFE,Top50,0.5,10,36,50.0,0.8768827000167221,0.2807160000083968,0.775,0.5319148936170213,0.5208333333333334,0.8552631578947368,0.5263157894736842,0.6880482456140351,0.37883234297909263,0.7441063596491228,0.5049926291776378,0.6674200786637369,0.4429824561403508,130,22,23,25,0.7420504385964911,0.476023150179116,0.4166666666666667,0.4597701149425287,0.6458333333333334,0.3144010367213984,0.60380736442456,0.4320175438596491,0.0020559210526316374,0.028969478998521758,0.10416666666666669,0.06654567453115551,0.04221491228070173,0.06443130625769422,0.06361271423917692,0.010964912280701733
German Credit,R1_F2,1,2,RFE,Top75,0.75,15,50,25.0,0.8768827000167221,0.30045569996582344,0.765,0.5111111111111111,0.4791666666666667,0.8552631578947368,0.4946236559139785,0.6672149122807017,0.34203874771168186,0.7490405701754386,0.46726143667347053,0.6401668505094809,0.45394736842105265,130,22,25,23,0.7420504385964911,0.476023150179116,0.4166666666666667,0.4597701149425287,0.6458333333333334,0.3144010367213984,0.60380736442456,0.4320175438596491,0.006990131578947456,-0.008761713505645474,0.0625,0.034853540971449826,0.021381578947368363,0.02763771099028345,0.0363594860849209,0.021929824561403577
German Credit,R1_F2,1,2,EqualConsensus,Top25,0.25,5,12,75.0,0.8768827000167221,0.24243760004173964,0.76,0.5,0.5,0.8421052631578947,0.5,0.6710526315789473,0.34210526315789475,0.7042214912280702,0.45105652882891867,0.6488856845230502,0.39473684210526316,128,24,24,24,0.7420504385964911,0.476023150179116,0.4166666666666667,0.4597701149425287,0.6458333333333334,0.3144010367213984,0.60380736442456,0.4320175438596491,-0.03782894736842091,-0.024966621350197338,0.08333333333333331,0.040229885057471326,0.025219298245613975,0.027704226436496338,0.04507832009849022,-0.037280701754385914
German Credit,R1_F2,1,2,EqualConsensus,Top50,0.5,10,31,50.0,0.8768827000167221,0.2725631999783218,0.78,0.5454545454545454,0.5,0.868421052631579,0.5217391304347826,0.6842105263157895,0.3798378283632677,0.7327302631578948,0.4772985163926768,0.6589465276604692,0.46820175438596495,132,20,24,24,0.7420504385964911,0.476023150179116,0.4166666666666667,0.4597701149425287,0.6458333333333334,0.3144010367213984,0.60380736442456,0.4320175438596491,-0.009320175438596312,0.0012753662135607802,0.08333333333333331,0.06196901549225392,0.03837719298245612,0.06543679164186927,0.05513916323590928,0.036184210526315874
German Credit,R1_F2,1,2,EqualConsensus,Top75,0.75,15,48,25.0,0.8768827000167221,0.30443540000123903,0.76,0.5,0.4791666666666667,0.8486842105263158,0.48936170212765956,0.6639254385964912,0.3327204436123973,0.7527412280701755,0.4862875679099583,0.6376999170538807,0.43201754385964913,129,23,25,23,0.7420504385964911,0.476023150179116,0.4166666666666667,0.4597701149425287,0.6458333333333334,0.3144010367213984,0.60380736442456,0.4320175438596491,0.010690789473684403,0.010264417730842301,0.0625,0.029591587185130885,0.018092105263157854,0.01831940689099887,0.03389255262932078,5.551115123125783e-17
German Credit,R1_F3,1,3,Chi2,Top25,0.25,5,18,75.0,0.8892788999946788,0.211141099978704,0.74,0.6410256410256411,0.3968253968253968,0.8978102189781022,0.49019607843137253,0.6473178079017495,0.345438357772083,0.7296952844398099,0.6328017546843475,0.5968868371977069,0.39184335534700493,123,14,38,25,0.7814853435291392,0.6698895847519888,0.4761904761904761,0.5504587155963303,0.6797010775112965,0.3967089138052003,0.6485190744458142,0.4451396130228247,-0.05179005908932932,-0.03708783006764127,-0.0793650793650793,-0.06026263716495778,-0.03238326960954696,-0.05127055603311731,-0.05163223724810739,-0.05329625767581975
German Credit,R1_F3,1,3,Chi2,Top50,0.5,10,41,50.0,0.8892788999946788,0.2915517000365071,0.76,0.6829268292682927,0.4444444444444444,0.9051094890510949,0.5384615384615384,0.6747769667477697,0.4022112940272951,0.7745336577453367,0.6549339903253306,0.6342482826328415,0.44931062449310627,124,13,35,28,0.7814853435291392,0.6698895847519888,0.4761904761904761,0.5504587155963303,0.6797010775112965,0.3967089138052003,0.6485190744458142,0.4451396130228247,-0.006951685783802564,-0.01495559442665817,-0.03174603174603169,-0.01199717713479187,-0.004924110763526834,0.005502380222094816,-0.01427079181297275,0.004171011470281594
German Credit,R1_F3,1,3,Chi2,Top75,0.75,15,51,25.0,0.8892788999946788,0.312430799996946,0.755,0.675,0.42857142857142855,0.9051094890510949,0.5242718446601942,0.6668404588112617,0.38750021023237596,0.7654964662263932,0.6343867850751181,0.6228194495487304,0.47816012049588696,124,13,36,27,0.7814853435291392,0.6698895847519888,0.4761904761904761,0.5504587155963303,0.6797010775112965,0.3967089138052003,0.6485190744458142,0.4451396130228247,-0.015988877302746007,-0.035502799676870644,-0.04761904761904756,-0.026186870936136142,-0.012860618700034743,-0.009208703572824328,-0.025699624897083884,0.03302050747306229
German Credit,R1_F3,1,3,MI,Top25,0.25,5,8,75.0,0.8892788999946788,0.23947169998427853,0.725,0.6333333333333333,0.30158730158730157,0.9197080291970803,0.40860215053763443,0.610647665392191,0.28788412762918614,0.710925732823543,0.5597250536026549,0.5266614308772977,0.36264627505503416,126,11,44,19,0.7814853435291392,0.6698895847519888,0.4761904761904761,0.5504587155963303,0.6797010775112965,0.3967089138052003,0.6485190744458142,0.4451396130228247,-0.07055961070559624,-0.11016453114933389,-0.17460317460317454,-0.14185656505869587,-0.06905341211910554,-0.10882478617601415,-0.12185764356851658,-0.08249333796779051
German Credit,R1_F3,1,3,MI,Top50,0.5,10,24,50.0,0.8892788999946788,0.27906810003332794,0.74,0.627906976744186,0.42857142857142855,0.8832116788321168,0.5094339622641509,0.6558915537017727,0.35253243883365054,0.7339821573398215,0.5906107397157393,0.6152392143939218,0.3807206580929209,121,16,36,27,0.7814853435291392,0.6698895847519888,0.4761904761904761,0.5504587155963303,0.6797010775112965,0.3967089138052003,0.6485190744458142,0.4451396130228247,-0.0475031861893177,-0.07927884503624949,-0.04761904761904756,-0.041024753332179364,-0.023809523809523836,-0.04417647497154975,-0.03327986005189243,-0.0644189549299038
