dataset,run_id,repeat,fold,selector,retained_fraction,total_source_features,selected_source_features,selected_transformed_features,feature_reduction_pct,selector_runtime_seconds,xgb_runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp
Australian Credit Approval,R5_F1,5,1,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.04770880000432953,0.3002932999515906,0.8478260869565217,0.8552631578947368,0.8666666666666667,0.8253968253968254,0.8609271523178808,0.846031746031746,0.6930175061314634,0.9358730158730159,0.9523909271792562,0.845780063222062,0.7473015873015874,52,11,10,65
Australian Credit Approval,R5_F2,5,2,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.0444924000184983,0.28953179996460676,0.8478260869565217,0.8625,0.8734177215189873,0.8135593220338984,0.8679245283018868,0.8434885217764428,0.6885298702383348,0.920188800686548,0.9362548292274124,0.8429573710285589,0.7337481227204463,48,11,10,69
Australian Credit Approval,R5_F3,5,3,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.04490749997785315,0.30030949995853007,0.8768115942028986,0.8783783783783784,0.8904109589041096,0.8615384615384616,0.8843537414965986,0.8759747102212856,0.7526635602947612,0.9264488935721812,0.9128673031724052,0.8758557459257963,0.7740779768177029,56,9,8,65
Australian Credit Approval,R5_F4,5,4,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.044238500006031245,0.29921520000789315,0.8840579710144928,0.9,0.9,0.8620689655172413,0.9,0.8810344827586207,0.7620689655172413,0.9247844827586207,0.9429989917486925,0.8808303292720552,0.7870689655172414,50,8,8,72
Australian Credit Approval,R5_F5,5,5,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.05076689994893968,0.34577919996809214,0.8478260869565217,0.8985507246376812,0.8157894736842105,0.8870967741935484,0.8551724137931035,0.8514431239388794,0.699259856097678,0.9223259762308997,0.911465761401939,0.8506963092234007,0.7920203735144312,55,7,14,62
Taiwan Credit Card Default,R1_F1,1,1,GroupAware_Chi2,0.75,23,18,24,21.739130434782606,0.13463210000190884,0.8600386999896728,0.8244707451241874,0.6771428571428572,0.36433512682551883,0.951894423158791,0.4737631184407796,0.658114774992155,0.40593044490911195,0.7897674415560745,0.5580176741346131,0.5889045554128973,0.43288294788467074,4472,226,827,474
Taiwan Credit Card Default,R1_F2,1,2,GroupAware_Chi2,0.75,23,18,24,21.739130434782606,0.12146689998917282,0.8976920999702998,0.8187427046856762,0.6721536351165981,0.3662182361733931,0.9487014380768405,0.4741170778906628,0.6574598371251168,0.40122460500868123,0.7784457553745406,0.554330335823251,0.5894334290720726,0.4286977228123974,4420,239,848,490
Taiwan Credit Card Default,R1_F3,1,3,GroupAware_Chi2,0.75,23,18,24,21.739130434782606,0.11247669998556376,0.9220769999665208,0.8195601466177941,0.6508795669824087,0.3683001531393568,0.9450596252129472,0.4704156479217604,0.656679889176152,0.3934956898980741,0.7840129327099927,0.5458656355402961,0.5899708507136192,0.4433094145484998,4438,258,825,481
Taiwan Credit Card Default,R1_F4,1,4,GroupAware_Chi2,0.75,23,18,24,21.739130434782606,0.11846039997180924,0.8871888000285253,0.8271666666666667,0.6989100817438693,0.3860045146726862,0.9526867908370799,0.4973339796412991,0.669345652754883,0.4292230288412792,0.7780558169220165,0.5715914533686397,0.6064168552506979,0.42658099323765625,4450,221,816,513
Taiwan Credit Card Default,R1_F5,1,5,GroupAware_Chi2,0.75,23,18,24,21.739130434782606,0.1356493000057526,0.86363330000313,0.8150616461179607,0.6784702549575071,0.35168869309838474,0.9510775862068965,0.4632495164410058,0.6513831396526406,0.39362140677997676,0.7859200940553951,0.5711377669776189,0.5783452544356785,0.4528222947997367,4413,227,883,479
Taiwan Credit Card Default,R2_F1,2,1,GroupAware_Chi2,0.75,23,18,24,21.739130434782606,0.11270870000589639,0.8187025999650359,0.8206839032527106,0.6680613668061367,0.3639817629179331,0.9491344304338534,0.47122479094933595,0.6565580966758933,0.39940704866619137,0.7871039586433857,0.5533846319731436,0.5877649387598943,0.4476341618211358,4441,238,837,479
Taiwan Credit Card Default,R2_F2,2,2,GroupAware_Chi2,0.75,23,18,24,21.739130434782606,0.1105093999649398,0.8306905999779701,0.8330278286952174,0.7171145685997171,0.387318563789152,0.9573742540494459,0.5029761904761905,0.672346408919299,0.4415494864394025,0.7952659208300852,0.5889442842291936,0.608940736925312,0.4495189380099866,4492,200,802,507
Taiwan Credit Card Default,R2_F3,2,3,GroupAware_Chi2,0.75,23,18,24,21.739130434782606,0.11022779997438192,0.8314943999866955,0.8162279240253248,0.649932157394844,0.36178247734138974,0.9448482257374946,0.4648229015041242,0.6533153515394422,0.3873974952339186,0.7786334988355857,0.5414555273334714,0.5846618953026848,0.4227275838953048,4420,258,845,479
Taiwan Credit Card Default,R2_F4,2,4,GroupAware_Chi2,0.75,23,18,24,21.739130434782606,0.11718800000380725,0.8673853000509553,0.8192570381475929,0.6822558459422283,0.3674074074074074,0.950354609929078,0.47761194029850745,0.6588810086682427,0.4066453360740874,0.7773479475607136,0.5642457037021138,0.5909038190363306,0.43217995558421096,4422,231,854,496
Taiwan Credit Card Default,R2_F5,2,5,GroupAware_Chi2,0.75,23,18,24,21.739130434782606,0.13035709998803213,0.8908947999589145,0.8171361893648942,0.6648351648351648,0.36200448765893795,0.9476619476619477,0.4687651331719128,0.6548332176604428,0.3946696906586359,0.7753263467549182,0.5491082110406116,0.5857114288087903,0.42920257579943444,4418,244,853,484
Taiwan Credit Card Default,R3_F1,3,1,GroupAware_Chi2,0.75,23,18,24,21.739130434782606,0.1143273999914527,0.8460592000046745,0.8139689948324721,0.662873399715505,0.3464684014869889,0.9490760636012032,0.455078125,0.647772232544096,0.38321765701217786,0.7680195155304708,0.5443174206871528,0.5734325301598023,0.4140297429720287,4417,237,879,466
