dataset,run_id,repeat,fold,selector,retained_fraction,total_source_features,selected_source_features,selected_transformed_features,feature_reduction_pct,selector_runtime_seconds,xgb_runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp,baseline_roc_auc,baseline_pr_auc,baseline_recall_adverse,baseline_precision_adverse,baseline_f1_adverse,baseline_balanced_accuracy,baseline_mcc,baseline_gmean,baseline_ks_statistic,delta_roc_auc,delta_pr_auc,delta_recall_adverse,delta_precision_adverse,delta_f1_adverse,delta_balanced_accuracy,delta_mcc,delta_gmean,delta_ks_statistic
Taiwan Credit Card Default,R1_F2,1,2,GroupAware_Chi2,0.75,23,18,24,21.739130434782606,0.12146689998917282,0.8976920999702998,0.8187427046856762,0.6721536351165981,0.3662182361733931,0.9487014380768405,0.4741170778906628,0.6574598371251168,0.40122460500868123,0.7784457553745406,0.554330335823251,0.5894334290720726,0.4286977228123974,4420,239,848,490,0.7795171824563801,0.5529774668776057,0.3639760837070254,0.6625850340136055,0.4698504582730342,0.6553728883871036,0.3945123067889141,0.5870277038224817,0.4188484220232406,-0.0010714270818394933,0.0013528689456452359,0.0022421524663677195,0.009568601102992624,0.004266619617628642,0.0020869487380131835,0.006712298219767154,0.0024057252495909287,0.0098493007891568
Taiwan Credit Card Default,R1_F3,1,3,GroupAware_Chi2,0.75,23,18,24,21.739130434782606,0.11247669998556376,0.9220769999665208,0.8195601466177941,0.6508795669824087,0.3683001531393568,0.9450596252129472,0.4704156479217604,0.656679889176152,0.3934956898980741,0.7840129327099927,0.5458656355402961,0.5899708507136192,0.4433094145484998,4438,258,825,481,0.7812585602813382,0.5439963994996716,0.3675344563552833,0.6382978723404256,0.466472303206997,0.6548064104604355,0.3858921969733155,0.5884269364710352,0.4342570393231605,0.0027543724286545057,0.0018692360406245,0.0007656967840735107,0.01258169464198311,0.003943344714763375,0.0018734787157165256,0.0076034929247585925,0.0015439142425840435,0.009052375225339304
Taiwan Credit Card Default,R1_F4,1,4,GroupAware_Chi2,0.75,23,18,24,21.739130434782606,0.11846039997180924,0.8871888000285253,0.8271666666666667,0.6989100817438693,0.3860045146726862,0.9526867908370799,0.4973339796412991,0.669345652754883,0.4292230288412792,0.7780558169220165,0.5715914533686397,0.6064168552506979,0.42658099323765625,4450,221,816,513,0.7802620881384087,0.5704539588907159,0.3867569601203913,0.6871657754010695,0.4949446316803081,0.6683303105033556,0.4232009039414193,0.6061203282283346,0.4335738549128599,-0.002206271216392164,0.0011374944779237728,-0.0007524454477050857,0.01174430634279977,0.002389347960990995,0.0010153422515274402,0.006022124899859926,0.0002965270223632688,-0.006992861675203632
Taiwan Credit Card Default,R1_F5,1,5,GroupAware_Chi2,0.75,23,18,24,21.739130434782606,0.1356493000057526,0.86363330000313,0.8150616461179607,0.6784702549575071,0.35168869309838474,0.9510775862068965,0.4632495164410058,0.6513831396526406,0.39362140677997676,0.7859200940553951,0.5711377669776189,0.5783452544356785,0.4528222947997367,4413,227,883,479,0.785511924654413,0.5724658794380455,0.3502202643171806,0.6708860759493671,0.4602026049204052,0.649894614917211,0.3885616094558854,0.5766786749055665,0.4526362094283255,0.00040816940098209464,-0.0013281124604266337,0.001468428781204123,0.007584179008140013,0.0030469115206006037,0.0014885247354295972,0.005059797324091342,0.0016665795301120667,0.0001860853714111821
Taiwan Credit Card Default,R2_F1,2,1,GroupAware_Chi2,0.75,23,18,24,21.739130434782606,0.11270870000589639,0.8187025999650359,0.8206839032527106,0.6680613668061367,0.3639817629179331,0.9491344304338534,0.47122479094933595,0.6565580966758933,0.39940704866619137,0.7871039586433857,0.5533846319731436,0.5877649387598943,0.4476341618211358,4441,238,837,479,0.7882423146556009,0.555910351450321,0.3624620060790273,0.6615811373092927,0.4683357879234168,0.6551570556148503,0.3948828725676545,0.5861402353525496,0.4498665381309882,-0.0011383560122152359,-0.0025257194771773905,0.001519756838905817,0.006480229496844014,0.002889003025919157,0.0014010410610429958,0.004524176098536892,0.0016247034073447741,-0.002232376309852402
Taiwan Credit Card Default,R2_F2,2,2,GroupAware_Chi2,0.75,23,18,24,21.739130434782606,0.1105093999649398,0.8306905999779701,0.8330278286952174,0.7171145685997171,0.387318563789152,0.9573742540494459,0.5029761904761905,0.672346408919299,0.4415494864394025,0.7952659208300852,0.5889442842291936,0.608940736925312,0.4495189380099866,4492,200,802,507,0.7949299459379195,0.5931033954253029,0.3919022154316272,0.7075862068965517,0.504424778761062,0.6733594623620198,0.4393442788464278,0.6117146260331139,0.445159486719589,0.0003359748921656358,-0.004159111196109233,-0.0045836516424751506,0.0095283617031654,-0.0014485882848714882,-0.001013053442720846,0.0022052075929747117,-0.0027738891078018524,0.004359451290397609
Taiwan Credit Card Default,R2_F3,2,3,GroupAware_Chi2,0.75,23,18,24,21.739130434782606,0.11022779997438192,0.8314943999866955,0.8162279240253248,0.649932157394844,0.36178247734138974,0.9448482257374946,0.4648229015041242,0.6533153515394422,0.3873974952339186,0.7786334988355857,0.5414555273334714,0.5846618953026848,0.4227275838953048,4420,258,845,479,0.7796517962204004,0.5434480969808699,0.3564954682779456,0.6492434662998624,0.4602632862018527,0.6509924968580836,0.3837788404483914,0.5805710388255613,0.4276865161732814,-0.001018297384814626,-0.0019925696473985788,0.005287009063444148,0.0006886910949815972,0.0045596153022715025,0.0023228546813586215,0.0036186547855271978,0.0040908564771234834,-0.004958932277976613
Taiwan Credit Card Default,R2_F4,2,4,GroupAware_Chi2,0.75,23,18,24,21.739130434782606,0.11718800000380725,0.8673853000509553,0.8192570381475929,0.6822558459422283,0.3674074074074074,0.950354609929078,0.47761194029850745,0.6588810086682427,0.4066453360740874,0.7773479475607136,0.5642457037021138,0.5909038190363306,0.43217995558421096,4422,231,854,496,0.7788249715436476,0.5694337392417754,0.3703703703703703,0.6858710562414266,0.481000481000481,0.6605774052582563,0.4105008070068286,0.593415861971444,0.4278859517157389,-0.0014770239829340337,-0.0051880355396616284,-0.0029629629629628895,-0.0036152102991983126,-0.0033885407019735303,-0.001696396590013527,-0.0038554709327411896,-0.0025120429351134232,0.004294003868472063
Taiwan Credit Card Default,R2_F5,2,5,GroupAware_Chi2,0.75,23,18,24,21.739130434782606,0.13035709998803213,0.8908947999589145,0.8171361893648942,0.6648351648351648,0.36200448765893795,0.9476619476619477,0.4687651331719128,0.6548332176604428,0.3946696906586359,0.7753263467549182,0.5491082110406116,0.5857114288087903,0.42920257579943444,4418,244,853,484,0.7743983966871026,0.5452465183012184,0.3664921465968586,0.6666666666666666,0.4729729729729729,0.6569697970221531,0.3984706339259005,0.5892639890598521,0.4255021663398627,0.0009279500678155417,0.0038616927393931855,-0.0044876589379206355,-0.001831501831501825,-0.004207839801060098,-0.0021365793617103,-0.0038009432672646004,-0.003552560251061765,0.0037004094595717296
Taiwan Credit Card Default,R3_F1,3,1,GroupAware_Chi2,0.75,23,18,24,21.739130434782606,0.1143273999914527,0.8460592000046745,0.8139689948324721,0.662873399715505,0.3464684014869889,0.9490760636012032,0.455078125,0.647772232544096,0.38321765701217786,0.7680195155304708,0.5443174206871528,0.5734325301598023,0.4140297429720287,4417,237,879,466,0.7667620130902305,0.5441553358452116,0.3479553903345725,0.6545454545454545,0.4543689320388349,0.6474413823181242,0.3795677415904132,0.5740108745865635,0.4129724919843505,0.0012575024402402546,0.00016208484194124573,-0.0014869888475836368,0.008327945170050421,0.0007091929611651171,0.0003308502259717905,0.0036499154217646823,-0.0005783444267611904,0.0010572509876782266
