run_id,feature_regime,training_regime,meta_intercept,coef_LR,coef_RF,coef_XGB
R4_F4,FrozenChi2Top75,Balanced,-1.7256905552413802,1.6243061360317104,1.1512559456996623,1.4509221541729795
R4_F5,AllFeatures,Unweighted,-2.534849878228323,1.8683379273499916,2.584951978429439,0.5704486464886722
R4_F5,AllFeatures,Balanced,-1.999860702512155,1.939540554619652,2.927295094571944,0.21092429041677818
R4_F5,FrozenChi2Top75,Unweighted,-2.4845452993471397,2.1626957048006537,2.448842049874351,0.2401385015877317
R4_F5,FrozenChi2Top75,Balanced,-1.9448589471938638,2.3874635443067023,2.4751266299861747,-0.11605657769705777
R5_F1,AllFeatures,Unweighted,-2.5388023433536375,1.478414889580538,2.053247290650382,1.534985388348694
R5_F1,AllFeatures,Balanced,-1.9850218891796372,1.4959803250977715,1.9058638016345917,1.5070547942189345
R5_F1,FrozenChi2Top75,Unweighted,-2.4463898006363234,1.8840975167331355,1.5968551640382902,1.288099005597166
R5_F1,FrozenChi2Top75,Balanced,-1.908416490099002,1.907532256771509,1.2504130529336348,1.3353351334895094
R5_F2,AllFeatures,Unweighted,-2.4386401856309274,1.8398311159248433,1.6691873034119442,1.2809890625796185
R5_F2,AllFeatures,Balanced,-1.9069474047976134,2.1947025602051933,1.6617964349656995,0.8110606566429768
R5_F2,FrozenChi2Top75,Unweighted,-2.328603495055211,2.033236321862384,1.4242884449962914,0.9759402489341458
R5_F2,FrozenChi2Top75,Balanced,-1.8059218354851754,2.1089975603583913,1.2284023690062837,1.0011802725047245
R5_F3,AllFeatures,Unweighted,-2.5342123568913415,1.399674991733665,2.2328823525941957,1.4130283982747112
R5_F3,AllFeatures,Balanced,-1.9257067006250137,1.2956955519701998,2.4657621928100637,1.156134652613554
R5_F3,FrozenChi2Top75,Unweighted,-2.441677478900687,1.8765279466353921,1.8921669846481948,0.9686591977668959
R5_F3,FrozenChi2Top75,Balanced,-1.8365939800409565,1.7449177328734857,1.9378619386080662,0.8405827735872511
R5_F4,AllFeatures,Unweighted,-2.4676328449091516,1.727103332745678,2.0467695247200077,1.0963085449283088
R5_F4,AllFeatures,Balanced,-1.9882819181578189,2.1129675949236684,2.7070082673858664,0.202526446210426
R5_F4,FrozenChi2Top75,Unweighted,-2.4266453461423185,1.8756240195274245,2.131575536311236,0.7299354729342602
R5_F4,FrozenChi2Top75,Balanced,-1.9211508935316919,2.270149278401754,1.9338957070096392,0.45357164599710953
R5_F5,AllFeatures,Unweighted,-2.406670805795111,1.489019153747985,2.29514894841551,0.9878824351524035
R5_F5,AllFeatures,Balanced,-1.7859157200068594,1.6722687410231432,1.9272589319998352,0.8988939923777078
R5_F5,FrozenChi2Top75,Unweighted,-2.3184108047930967,1.5997659251724738,1.751249561468191,1.122702820670704
R5_F5,FrozenChi2Top75,Balanced,-1.7445217265028572,1.8009781584605464,1.6405065570334432,0.8279881152075398
