run_id,inner_fold,feature_regime,training_regime,selected_source_features,selected_features
R1_F3,5,FrozenChi2Top75,Balanced,15,status;duration;credit_history;savings;property;installment_rate;housing;personal_status_sex;employment_duration;purpose;other_installment_plans;amount;age;foreign_worker;telephone
R1_F4,1,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F4,2,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F4,3,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F4,4,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F4,5,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F4,1,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F4,2,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F4,3,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F4,4,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F4,5,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F4,1,FrozenChi2Top75,Unweighted,15,status;housing;duration;credit_history;savings;employment_duration;amount;personal_status_sex;telephone;foreign_worker;property;purpose;other_installment_plans;age;people_liable
R1_F4,2,FrozenChi2Top75,Unweighted,15,status;savings;housing;credit_history;duration;property;employment_duration;personal_status_sex;amount;age;purpose;other_installment_plans;foreign_worker;other_debtors;job
R1_F4,3,FrozenChi2Top75,Unweighted,15,status;housing;savings;credit_history;employment_duration;personal_status_sex;duration;people_liable;property;amount;age;telephone;purpose;other_debtors;foreign_worker
R1_F4,4,FrozenChi2Top75,Unweighted,15,status;housing;savings;duration;credit_history;property;other_installment_plans;amount;employment_duration;personal_status_sex;other_debtors;age;telephone;purpose;foreign_worker
R1_F4,5,FrozenChi2Top75,Unweighted,15,status;duration;housing;amount;credit_history;savings;personal_status_sex;property;employment_duration;other_debtors;purpose;people_liable;other_installment_plans;job;foreign_worker
R1_F4,1,FrozenChi2Top75,Balanced,15,status;housing;duration;credit_history;savings;employment_duration;amount;personal_status_sex;telephone;foreign_worker;property;purpose;other_installment_plans;age;people_liable
R1_F4,2,FrozenChi2Top75,Balanced,15,status;savings;housing;credit_history;duration;property;employment_duration;personal_status_sex;amount;age;purpose;other_installment_plans;foreign_worker;other_debtors;job
R1_F4,3,FrozenChi2Top75,Balanced,15,status;housing;savings;credit_history;employment_duration;personal_status_sex;duration;people_liable;property;amount;age;telephone;purpose;other_debtors;foreign_worker
R1_F4,4,FrozenChi2Top75,Balanced,15,status;housing;savings;duration;credit_history;property;other_installment_plans;amount;employment_duration;personal_status_sex;other_debtors;age;telephone;purpose;foreign_worker
R1_F4,5,FrozenChi2Top75,Balanced,15,status;duration;housing;amount;credit_history;savings;personal_status_sex;property;employment_duration;other_debtors;purpose;people_liable;other_installment_plans;job;foreign_worker
R1_F5,1,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F5,2,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F5,3,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F5,4,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F5,5,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F5,1,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F5,2,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F5,3,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F5,4,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F5,5,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F5,1,FrozenChi2Top75,Unweighted,15,status;housing;duration;credit_history;other_installment_plans;property;amount;savings;foreign_worker;purpose;other_debtors;personal_status_sex;employment_duration;installment_rate;age
R1_F5,2,FrozenChi2Top75,Unweighted,15,status;duration;housing;savings;credit_history;amount;property;foreign_worker;other_installment_plans;personal_status_sex;installment_rate;purpose;other_debtors;employment_duration;telephone
R1_F5,3,FrozenChi2Top75,Unweighted,15,status;duration;savings;housing;amount;credit_history;property;other_installment_plans;employment_duration;purpose;foreign_worker;installment_rate;other_debtors;personal_status_sex;people_liable
R1_F5,4,FrozenChi2Top75,Unweighted,15,duration;status;other_installment_plans;credit_history;savings;property;housing;foreign_worker;installment_rate;purpose;amount;other_debtors;personal_status_sex;employment_duration;number_credits
R1_F5,5,FrozenChi2Top75,Unweighted,15,status;housing;credit_history;duration;savings;installment_rate;other_installment_plans;property;purpose;other_debtors;employment_duration;amount;foreign_worker;age;number_credits
R1_F5,1,FrozenChi2Top75,Balanced,15,status;housing;duration;credit_history;other_installment_plans;property;amount;savings;foreign_worker;purpose;other_debtors;personal_status_sex;employment_duration;installment_rate;age
R1_F5,2,FrozenChi2Top75,Balanced,15,status;duration;housing;savings;credit_history;amount;property;foreign_worker;other_installment_plans;personal_status_sex;installment_rate;purpose;other_debtors;employment_duration;telephone
R1_F5,3,FrozenChi2Top75,Balanced,15,status;duration;savings;housing;amount;credit_history;property;other_installment_plans;employment_duration;purpose;foreign_worker;installment_rate;other_debtors;personal_status_sex;people_liable
R1_F5,4,FrozenChi2Top75,Balanced,15,duration;status;other_installment_plans;credit_history;savings;property;housing;foreign_worker;installment_rate;purpose;amount;other_debtors;personal_status_sex;employment_duration;number_credits
R1_F5,5,FrozenChi2Top75,Balanced,15,status;housing;credit_history;duration;savings;installment_rate;other_installment_plans;property;purpose;other_debtors;employment_duration;amount;foreign_worker;age;number_credits
R2_F1,1,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R2_F1,2,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R2_F1,3,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R2_F1,4,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R2_F1,5,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R2_F1,1,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R2_F1,2,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R2_F1,3,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R2_F1,4,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R2_F1,5,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R2_F1,1,FrozenChi2Top75,Unweighted,15,status;housing;savings;credit_history;duration;employment_duration;amount;other_installment_plans;personal_status_sex;foreign_worker;other_debtors;purpose;property;people_liable;age
R2_F1,2,FrozenChi2Top75,Unweighted,15,status;amount;savings;credit_history;other_installment_plans;duration;housing;purpose;personal_status_sex;property;employment_duration;age;foreign_worker;other_debtors;telephone
R2_F1,3,FrozenChi2Top75,Unweighted,15,status;duration;amount;housing;other_installment_plans;savings;credit_history;employment_duration;purpose;property;personal_status_sex;installment_rate;age;foreign_worker;people_liable
R2_F1,4,FrozenChi2Top75,Unweighted,15,status;savings;credit_history;duration;housing;amount;other_installment_plans;foreign_worker;employment_duration;personal_status_sex;other_debtors;purpose;age;property;number_credits
R2_F1,5,FrozenChi2Top75,Unweighted,15,status;credit_history;savings;housing;personal_status_sex;other_installment_plans;duration;employment_duration;property;purpose;amount;foreign_worker;people_liable;other_debtors;installment_rate
R2_F1,1,FrozenChi2Top75,Balanced,15,status;housing;savings;credit_history;duration;employment_duration;amount;other_installment_plans;personal_status_sex;foreign_worker;other_debtors;purpose;property;people_liable;age
R2_F1,2,FrozenChi2Top75,Balanced,15,status;amount;savings;credit_history;other_installment_plans;duration;housing;purpose;personal_status_sex;property;employment_duration;age;foreign_worker;other_debtors;telephone
R2_F1,3,FrozenChi2Top75,Balanced,15,status;duration;amount;housing;other_installment_plans;savings;credit_history;employment_duration;purpose;property;personal_status_sex;installment_rate;age;foreign_worker;people_liable
R2_F1,4,FrozenChi2Top75,Balanced,15,status;savings;credit_history;duration;housing;amount;other_installment_plans;foreign_worker;employment_duration;personal_status_sex;other_debtors;purpose;age;property;number_credits
R2_F1,5,FrozenChi2Top75,Balanced,15,status;credit_history;savings;housing;personal_status_sex;other_installment_plans;duration;employment_duration;property;purpose;amount;foreign_worker;people_liable;other_debtors;installment_rate
R2_F2,1,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R2_F2,2,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R2_F2,3,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R2_F2,4,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R2_F2,5,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R2_F2,1,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R2_F2,2,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R2_F2,3,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R2_F2,4,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R2_F2,5,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R2_F2,1,FrozenChi2Top75,Unweighted,15,housing;status;other_installment_plans;duration;credit_history;property;foreign_worker;personal_status_sex;savings;telephone;purpose;employment_duration;amount;other_debtors;people_liable
R2_F2,2,FrozenChi2Top75,Unweighted,15,housing;duration;status;other_installment_plans;credit_history;property;savings;telephone;purpose;employment_duration;installment_rate;foreign_worker;personal_status_sex;people_liable;other_debtors
R2_F2,3,FrozenChi2Top75,Unweighted,15,duration;status;housing;credit_history;savings;other_installment_plans;purpose;property;employment_duration;amount;foreign_worker;installment_rate;personal_status_sex;job;other_debtors
R2_F2,4,FrozenChi2Top75,Unweighted,15,duration;status;credit_history;other_installment_plans;housing;people_liable;property;savings;employment_duration;number_credits;purpose;installment_rate;amount;foreign_worker;personal_status_sex
