dataset,run_id,repeat,fold,threshold_strategy,selected_threshold,threshold,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,gmean,tn,fp,fn,tp,cost_FN1_FP1,cost_FN2_FP1,cost_FN5_FP1,cost_FN10_FP1,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100,reference_recall_adverse,reference_precision_adverse,reference_f1_adverse,reference_balanced_accuracy,reference_mcc,reference_gmean,reference_cost_FN1_FP1_per100,reference_cost_FN2_FP1_per100,reference_cost_FN5_FP1_per100,reference_cost_FN10_FP1_per100,delta_recall_adverse,delta_precision_adverse,delta_f1_adverse,delta_balanced_accuracy,delta_mcc,delta_gmean,delta_cost_FN1_FP1_per100,delta_cost_FN2_FP1_per100,delta_cost_FN5_FP1_per100,delta_cost_FN10_FP1_per100
Australian Credit Approval,R2_F1,2,1,Fixed0.50,0.5,0.5,0.8188405797101449,0.8157894736842105,0.8493150684931506,0.7846153846153846,0.8322147651006712,0.8169652265542676,0.6361464129354797,0.8163244876428706,51,14,11,62,25,36,69,124,18.115942028985508,26.08695652173913,50.0,89.85507246376811,0.8493150684931506,0.8157894736842105,0.8322147651006712,0.8169652265542676,0.6361464129354797,0.8163244876428706,18.115942028985508,26.08695652173913,50.0,89.85507246376811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australian Credit Approval,R2_F1,2,1,MinCost_FN2_FP1,0.4320401245507586,0.4320401245507586,0.8333333333333334,0.8125,0.8904109589041096,0.7692307692307693,0.8496732026143791,0.8298208640674394,0.6670635937899404,0.827605888602368,50,15,8,65,23,31,55,95,16.666666666666668,22.463768115942027,39.85507246376812,68.84057971014492,0.8493150684931506,0.8157894736842105,0.8322147651006712,0.8169652265542676,0.6361464129354797,0.8163244876428706,18.115942028985508,26.08695652173913,50.0,89.85507246376811,0.04109589041095896,-0.003289473684210509,0.017458437513707903,0.012855637513171758,0.030917180854460713,0.011281400959497367,-1.44927536231884,-3.6231884057971016,-10.144927536231883,-21.014492753623188
Australian Credit Approval,R2_F2,2,2,Fixed0.50,0.5,0.5,0.8478260869565217,0.9342105263157895,0.8160919540229885,0.9019607843137255,0.8711656441717791,0.8590263691683571,0.6967843957280077,0.857952760309503,46,5,16,71,21,37,85,165,15.217391304347826,26.81159420289855,61.594202898550726,119.56521739130434,0.8160919540229885,0.9342105263157895,0.8711656441717791,0.8590263691683571,0.6967843957280077,0.857952760309503,15.217391304347826,26.81159420289855,61.594202898550726,119.56521739130434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australian Credit Approval,R2_F2,2,2,MinCost_FN2_FP1,0.3697259909766666,0.3697259909766666,0.8623188405797102,0.925,0.8505747126436781,0.8823529411764706,0.8862275449101796,0.8664638269100744,0.7167155585435772,0.8663181282828385,45,6,13,74,19,32,71,136,13.768115942028986,23.18840579710145,51.44927536231884,98.55072463768116,0.8160919540229885,0.9342105263157895,0.8711656441717791,0.8590263691683571,0.6967843957280077,0.857952760309503,15.217391304347826,26.81159420289855,61.594202898550726,119.56521739130434,0.03448275862068961,-0.009210526315789447,0.015061900738400524,0.007437457741717335,0.019931162815569503,0.008365367973335536,-1.44927536231884,-3.6231884057971016,-10.144927536231883,-21.014492753623188
Australian Credit Approval,R2_F3,2,3,Fixed0.50,0.5,0.5,0.8623188405797102,0.8840579710144928,0.8472222222222222,0.8787878787878788,0.8652482269503546,0.8630050505050505,0.7253235664820743,0.8628607184990051,58,8,11,61,19,30,63,118,13.768115942028986,21.73913043478261,45.65217391304348,85.5072463768116,0.8472222222222222,0.8840579710144928,0.8652482269503546,0.8630050505050505,0.7253235664820743,0.8628607184990051,13.768115942028986,21.73913043478261,45.65217391304348,85.5072463768116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australian Credit Approval,R2_F3,2,3,MinCost_FN2_FP1,0.30366640665748246,0.30366640665748246,0.8405797101449275,0.8048780487804879,0.9166666666666666,0.7575757575757576,0.8571428571428571,0.8371212121212122,0.6858882322135353,0.8333333333333334,50,16,6,66,22,28,46,76,15.942028985507246,20.28985507246377,33.333333333333336,55.072463768115945,0.8472222222222222,0.8840579710144928,0.8652482269503546,0.8630050505050505,0.7253235664820743,0.8628607184990051,13.768115942028986,21.73913043478261,45.65217391304348,85.5072463768116,0.06944444444444442,-0.07917992223400494,-0.008105369807497542,-0.025883838383838342,-0.03943533426853896,-0.02952738516567177,2.17391304347826,-1.44927536231884,-12.318840579710141,-30.43478260869565
Australian Credit Approval,R2_F4,2,4,Fixed0.50,0.5,0.5,0.8768115942028986,0.8918918918918919,0.88,0.873015873015873,0.8859060402684564,0.8765079365079365,0.7521408740827044,0.8765009801785554,55,8,9,66,17,26,53,98,12.318840579710145,18.840579710144926,38.405797101449274,71.01449275362319,0.88,0.8918918918918919,0.8859060402684564,0.8765079365079365,0.7521408740827044,0.8765009801785554,12.318840579710145,18.840579710144926,38.405797101449274,71.01449275362319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australian Credit Approval,R2_F4,2,4,MinCost_FN2_FP1,0.2775407834091117,0.2775407834091117,0.8333333333333334,0.7888888888888889,0.9466666666666667,0.6984126984126984,0.8606060606060606,0.8225396825396825,0.6746401483798578,0.8131199303694512,44,19,4,71,23,27,39,59,16.666666666666668,19.565217391304348,28.26086956521739,42.7536231884058,0.88,0.8918918918918919,0.8859060402684564,0.8765079365079365,0.7521408740827044,0.8765009801785554,12.318840579710145,18.840579710144926,38.405797101449274,71.01449275362319,0.06666666666666665,-0.10300300300300302,-0.025299979662395833,-0.053968253968254,-0.0775007257028466,-0.0633810498091042,4.347826086956523,0.7246376811594217,-10.144927536231883,-28.26086956521739
Australian Credit Approval,R2_F5,2,5,Fixed0.50,0.5,0.5,0.9202898550724637,0.922077922077922,0.9342105263157895,0.9032258064516129,0.9281045751633987,0.9187181663837012,0.8387724549797387,0.918587533132888,56,6,5,71,11,16,31,56,7.971014492753623,11.594202898550725,22.463768115942027,40.57971014492754,0.9342105263157895,0.922077922077922,0.9281045751633987,0.9187181663837012,0.8387724549797387,0.918587533132888,7.971014492753623,11.594202898550725,22.463768115942027,40.57971014492754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australian Credit Approval,R2_F5,2,5,MinCost_FN2_FP1,0.31641692642968655,0.31641692642968655,0.8985507246376812,0.8604651162790697,0.9736842105263158,0.8064516129032258,0.9135802469135802,0.8900679117147707,0.8007961276396814,0.8861315940859752,50,12,2,74,14,16,22,32,10.144927536231885,11.594202898550725,15.942028985507246,23.18840579710145,0.9342105263157895,0.922077922077922,0.9281045751633987,0.9187181663837012,0.8387724549797387,0.918587533132888,7.971014492753623,11.594202898550725,22.463768115942027,40.57971014492754,0.03947368421052633,-0.06161280579885231,-0.01452432824981853,-0.028650254668930453,-0.03797632734005729,-0.032455939046912796,2.1739130434782616,0.0,-6.521739130434781,-17.39130434782609
