dataset,run_id,repeat,fold,threshold_strategy,selected_threshold,threshold,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,gmean,tn,fp,fn,tp,cost_FN1_FP1,cost_FN2_FP1,cost_FN5_FP1,cost_FN10_FP1,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100
Taiwan Credit Card Default,R1_F1,1,1,MinCost_FN2_FP1,0.3179930088483575,0.3179930088483575,0.8118019669944991,0.5753064798598949,0.5049961568024597,0.8967645806726267,0.5378632828489562,0.7008803687375431,0.4217407280029783,0.6729507164690782,4213,485,644,657,1129,1773,3705,6925,18.81980330055009,29.554925820970162,61.76029338223037,115.43590598433072
Taiwan Credit Card Default,R1_F2,1,2,Fixed0.50,0.5,0.5,0.8195764548941137,0.6743869209809265,0.36995515695067266,0.9487014380768405,0.4777992277992278,0.6593282975137565,0.4047926406477425,0.5924331096613746,4420,239,843,495,1082,1925,4454,8669,18.042354510588627,32.09938302484576,74.27046856761714,144.55561113890278
Taiwan Credit Card Default,R1_F2,1,2,MinCost_FN2_FP1,0.3396084696003405,0.3396084696003405,0.807903951975988,0.5853211009174312,0.476831091180867,0.9029834728482506,0.5255354200988468,0.6899072820145589,0.4100386054147269,0.6561787825558825,4207,452,700,638,1152,1852,3952,7452,19.209604802401202,30.882107720526932,65.89961647490412,124.26213106553277
Taiwan Credit Card Default,R1_F3,1,3,Fixed0.50,0.5,0.5,0.8188937020993002,0.6481732070365359,0.3667687595712098,0.944633730834753,0.4684596577017115,0.6557012452029813,0.3910378621103967,0.5886103479445349,4436,260,827,479,1087,1914,4395,8530,18.110629790069975,31.889370209930025,73.22559146951016,142.1192935688104
Taiwan Credit Card Default,R1_F3,1,3,MinCost_FN2_FP1,0.3413210613310861,0.3413210613310861,0.8048983672109297,0.5608656447249775,0.4762633996937213,0.8962947189097104,0.5151138716356107,0.6862790593017158,0.3960739535066882,0.653354704548354,4209,487,684,622,1171,1855,3907,7327,19.51016327890703,30.906364545151614,65.09496834388537,122.0759746751083
Taiwan Credit Card Default,R1_F4,1,4,Fixed0.50,0.5,0.5,0.8256666666666667,0.6951724137931035,0.3792325056433409,0.9526867908370799,0.4907497565725414,0.6659596482402104,0.4228824775042811,0.6010738713190411,4450,221,825,504,1046,1871,4346,8471,17.433333333333334,31.183333333333334,72.43333333333334,141.18333333333334
Taiwan Credit Card Default,R1_F4,1,4,MinCost_FN2_FP1,0.3093478880509929,0.3093478880509929,0.8086666666666666,0.5739983646770237,0.5282167042889391,0.8884607150503104,0.5501567398119123,0.7083387096696248,0.42951322509026096,0.6850545896452845,4150,521,627,702,1148,1775,3656,6791,19.133333333333333,29.583333333333332,60.93333333333333,113.18333333333334
Taiwan Credit Card Default,R1_F5,1,5,Fixed0.50,0.5,0.5,0.8183938687104299,0.6982507288629738,0.35168869309838474,0.9553879310344827,0.4677734375,0.6535383120664338,0.40424043967423934,0.5796543218742417,4433,207,883,479,1090,1973,4622,9037,18.160613128957014,32.87237587470843,77.00766411196268,150.56647784071976
Taiwan Credit Card Default,R1_F5,1,5,MinCost_FN2_FP1,0.3333323233645281,0.3333323233645281,0.811562812395868,0.6028495102404274,0.49706314243759175,0.9038793103448276,0.5448692152917505,0.7004712263912096,0.43060027192175976,0.6702873192775791,4194,446,685,677,1131,1816,3871,7296,18.843718760413196,30.256581139620128,64.49516827724092,121.55948017327557
Taiwan Credit Card Default,R2_F1,2,1,Fixed0.50,0.5,0.5,0.8191826522101752,0.6638418079096046,0.35714285714285715,0.9491344304338534,0.4644268774703557,0.6531386437883553,0.39282396550293996,0.5822169546636415,4441,238,846,470,1084,1930,4468,8698,18.081734778982486,32.19349457881568,74.52877397831526,145.08757297748124
Taiwan Credit Card Default,R2_F1,2,1,MinCost_FN2_FP1,0.30546909203642364,0.30546909203642364,0.8043369474562135,0.5579886455798865,0.5227963525835866,0.8835221201111348,0.539819537073362,0.7031592363473607,0.4160972071021455,0.6796338292205729,4134,545,628,688,1173,1801,3685,6825,19.566305254378648,30.041701417848206,61.46788990825688,113.84487072560466
Taiwan Credit Card Default,R2_F2,2,2,Fixed0.50,0.5,0.5,0.832027995334111,0.7122708039492243,0.385790679908327,0.9565217391304348,0.5004955401387512,0.6711562095193809,0.4379640318713897,0.6074678362565592,4488,204,804,505,1008,1812,4224,8244,16.7972004665889,30.194967505415764,70.38826862189634,137.37710381603065
Taiwan Credit Card Default,R2_F2,2,2,MinCost_FN2_FP1,0.28954453253888485,0.28954453253888485,0.8053657723712715,0.5543562066306862,0.5492742551566081,0.8768115942028986,0.5518035303146585,0.7130429246797534,0.42750607601583185,0.6939812932049936,4114,578,590,719,1168,1758,3528,6478,19.463422762872856,29.29511748041993,58.79020163306116,107.94867522079653
Taiwan Credit Card Default,R2_F3,2,3,Fixed0.50,0.5,0.5,0.8168943685438187,0.6534788540245566,0.36178247734138974,0.9457032920051304,0.4657267865824016,0.65374288467326,0.3893884234900857,0.5849263883699587,4424,254,845,479,1099,1944,4479,8704,18.310563145618126,32.3892035988004,74.62512495834721,145.01832722425857
Taiwan Credit Card Default,R2_F3,2,3,MinCost_FN2_FP1,0.3075733585061059,0.3075733585061059,0.801732755748084,0.5546492659053833,0.513595166163142,0.8832834544677213,0.5333333333333333,0.6984393103154316,0.40818252864455506,0.67353553177728,4132,546,644,680,1190,1834,3766,6986,19.826724425191603,30.55648117294235,62.7457514161946,116.39453515494836
Taiwan Credit Card Default,R2_F4,2,4,Fixed0.50,0.5,0.5,0.8194236215225721,0.6889204545454546,0.3592592592592593,0.9529335912314636,0.47224926971762415,0.6560964252453614,0.40511010312129897,0.5851070125276926,4434,219,865,485,1084,1949,4544,8869,18.057637847742797,32.46709978344161,75.69548559053807,147.74279526903214
Taiwan Credit Card Default,R2_F4,2,4,MinCost_FN2_FP1,0.3064960646607269,0.3064960646607269,0.8070964517741129,0.5785597381342062,0.5237037037037037,0.8893187191059532,0.5497667185069984,0.7065112114048284,0.4282644897670061,0.6824511022548219,4138,515,643,707,1158,1801,3730,6945,19.290354822588707,30.00166583374979,62.13559886723305,115.69215392303848
Taiwan Credit Card Default,R2_F5,2,5,Fixed0.50,0.5,0.5,0.8189698283047174,0.6780141843971631,0.3575168287210172,0.9513084513084513,0.4681684622918707,0.6544126400147343,0.3990967168870823,0.5831884606602737,4435,227,859,478,1086,1945,4522,8817,18.103017169528254,32.42207034505751,75.37922987164528,146.97449574929155
Taiwan Credit Card Default,R2_F5,2,5,MinCost_FN2_FP1,0.308254598370932,0.308254598370932,0.7996332722120353,0.556203164029975,0.49962602842183995,0.8856713856713857,0.5263987391646966,0.6926487070466129,0.4007248795001494,0.6652100998255078,4129,533,669,668,1202,1871,3878,7223,20.036672778796465,31.18853142190365,64.6441073512252,120.40340056676112
Taiwan Credit Card Default,R3_F1,3,1,Fixed0.50,0.5,0.5,0.8133022170361727,0.6586741889985895,0.34721189591078067,0.9480017189514396,0.45472249269717624,0.6476068074311101,0.38138162137192,0.5737224713777632,4412,242,878,467,1120,1998,4632,9022,18.66977829638273,33.30555092515419,77.21286881146858,150.3917319553259
Taiwan Credit Card Default,R3_F1,3,1,MinCost_FN2_FP1,0.3198022779561058,0.3198022779561058,0.799966661110185,0.5630983463881636,0.48104089219330853,0.8921357971637301,0.5188452285485164,0.6865883446785194,0.3955104434513207,0.6550983130990563,4152,502,698,647,1200,1898,3992,7482,20.003333888981498,31.638606434405734,66.54442407067845,124.72078679779963
Taiwan Credit Card Default,R3_F2,3,2,Fixed0.50,0.5,0.5,0.8217260913028991,0.6695156695156695,0.35932721712538224,0.9505752023860247,0.46766169154228854,0.6549512097557034,0.39810157034119864,0.584437800062391,4462,232,838,470,1070,1908,4422,8612,17.827390869710097,31.789403532155948,73.6754415194935,143.48550483172275
Taiwan Credit Card Default,R3_F2,3,2,MinCost_FN2_FP1,0.2940450484862417,0.2940450484862417,0.8002332555814728,0.5422808378588053,0.5344036697247706,0.8743076267575628,0.5383134385829803,0.7043556482411667,0.4108817743662579,0.6835445883097873,4104,590,609,699,1199,1808,3635,6680,19.976674441852715,30.123292235921358,60.563145618127294,111.29623458847051
