dataset,run_id,repeat,fold,calibration_method,selected_source_features,brier_score,log_loss,ece_10bin,calibration_intercept,calibration_slope,mean_predicted_probability,observed_adverse_rate,roc_auc,pr_auc,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,gmean,ks_statistic,tn,fp,fn,tp
Australian Credit Approval,R4_F5,4,5,Sigmoid,11,0.08093527298604052,0.2899256755446025,0.0675429312831429,-0.1929877105449616,1.089438661863584,0.5600178327506236,0.5434782608695652,0.9451851851851851,0.9398944422223259,0.9202898550724637,0.9324324324324325,0.92,0.9206349206349206,0.9261744966442953,0.9203174603174603,0.839658109009697,0.9203174055640407,0.8673015873015872,58,5,6,69
Australian Credit Approval,R5_F1,5,1,Uncalibrated,11,0.11075756286827403,0.3419999758238101,0.07048065109791504,0.027187279046775786,0.950234443419834,0.541237972086801,0.5434782608695652,0.9316402116402116,0.950574465316831,0.8333333333333334,0.8513513513513513,0.84,0.8253968253968254,0.8456375838926175,0.8326984126984127,0.6646236391557118,0.8326663997864531,0.7257142857142858,52,11,12,63
Australian Credit Approval,R5_F1,5,1,Sigmoid,11,0.11058076418052129,0.3418197548910953,0.08780437332752371,-0.07246049909430952,1.0047921655180534,0.5509078191715793,0.5434782608695652,0.9316402116402116,0.950574465316831,0.8043478260869565,0.8076923076923077,0.84,0.7619047619047619,0.8235294117647058,0.8009523809523809,0.6047916118572527,0.7999999999999999,0.7257142857142858,48,15,12,63
Australian Credit Approval,R5_F2,5,2,Uncalibrated,11,0.10283636279740707,0.3513553745813714,0.04825559032379396,0.041184172871306754,0.8335156526174828,0.5707944466873162,0.572463768115942,0.9156833297575627,0.9272774075412258,0.8695652173913043,0.9066666666666666,0.8607594936708861,0.8813559322033898,0.8831168831168831,0.871057712937138,0.7370723235746327,0.8709968346367406,0.7590645784166488,52,7,11,68
Australian Credit Approval,R5_F2,5,2,Sigmoid,11,0.10282099116942839,0.3506049705018099,0.04534322981534389,-0.019423188990174926,0.8454480719191105,0.5769756000335026,0.572463768115942,0.9156833297575627,0.9272774075412258,0.8695652173913043,0.9066666666666666,0.8607594936708861,0.8813559322033898,0.8831168831168831,0.871057712937138,0.7370723235746327,0.8709968346367406,0.7590645784166488,52,7,11,68
Australian Credit Approval,R5_F3,5,3,Uncalibrated,11,0.08122646573260522,0.2790592110875756,0.044672221149904906,-0.07843359225897034,1.19904896406452,0.536058247039431,0.5289855072463768,0.9498419388830347,0.9487942025157913,0.8985507246376812,0.9154929577464789,0.8904109589041096,0.9076923076923077,0.9027777777777778,0.8990516332982086,0.797095983990672,0.8990101101112221,0.8134878819810327,59,6,8,65
Australian Credit Approval,R5_F3,5,3,Sigmoid,11,0.082116780577945,0.2830939605491558,0.05461370293645007,-0.18412775718038324,1.2650031454214994,0.5448372177862746,0.5289855072463768,0.9498419388830347,0.9487942025157913,0.8985507246376812,0.9154929577464789,0.8904109589041096,0.9076923076923077,0.9027777777777778,0.8990516332982086,0.797095983990672,0.8990101101112221,0.8134878819810327,59,6,8,65
Australian Credit Approval,R5_F4,5,4,Uncalibrated,11,0.0830376078078767,0.2931767869413416,0.041471706226218576,0.03026394178906214,1.0207499802521147,0.5768385995964679,0.5797101449275363,0.9437499999999999,0.9586518963581967,0.8985507246376812,0.9230769230769231,0.9,0.896551724137931,0.9113924050632911,0.8982758620689655,0.7931403520418913,0.8982742074245136,0.8137931034482759,52,6,8,72
Australian Credit Approval,R5_F4,5,4,Sigmoid,11,0.0830890254133241,0.29316806909436677,0.04663933026813077,-0.04440779982289956,1.0128790101321654,0.5833969771080625,0.5797101449275363,0.9437499999999999,0.9586518963581967,0.8985507246376812,0.9230769230769231,0.9,0.896551724137931,0.9113924050632911,0.8982758620689655,0.7931403520418913,0.8982742074245136,0.8137931034482759,52,6,8,72
Australian Credit Approval,R5_F5,5,5,Uncalibrated,11,0.10399267627557114,0.3509399223400367,0.08332185102342543,0.5433192399876141,1.0751989114649323,0.4964758513186332,0.5507246376811594,0.9250848896434635,0.9197564748923204,0.8478260869565217,0.9104477611940298,0.8026315789473685,0.9032258064516129,0.8531468531468531,0.8529286926994907,0.7025108373018846,0.8514443934739768,0.7699490662139219,56,6,15,61
