dataset,run_id,repeat,fold,feature_regime,training_regime,ensemble_type,selected_source_features,feature_selection_runtime_seconds,lr_runtime_seconds,rf_runtime_seconds,xgb_runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100
Taiwan Credit Card Default,R2_F2,2,2,FrozenChi2Top75,Balanced,SoftVote,18,0.10195240000030026,0.12744059995748103,4.325380900001619,0.7172730999882333,0.8145309115147475,0.5836177474402731,0.5225362872421696,0.8959931798806479,0.5513905683192262,0.7092647335614087,0.43599595185612056,0.7896726349223716,0.5893866525884842,0.6842433409315279,0.4364212087997254,4204,488,625,684,18.546908848525245,28.961839693384437,60.206632227962004,112.28128645225796
Taiwan Credit Card Default,R2_F3,2,3,FrozenChi2Top75,Balanced,SoftVote,18,0.10255490004783496,0.1298895999789238,4.240484000009019,0.8450784000451677,0.8055648117294235,0.5671514114627887,0.5007552870090635,0.8918341171440787,0.5318892900120337,0.6962947020765711,0.41105224274833707,0.7724540466463191,0.5375409233613515,0.668274381743725,0.4116223784533633,4172,506,661,663,19.44351882705765,30.45651449516828,63.495501499500165,118.56047984005332
Taiwan Credit Card Default,R2_F4,2,4,FrozenChi2Top75,Balanced,SoftVote,18,0.10279440000886098,0.1278930000262335,4.288497200002894,0.7074161000200547,0.8102615358987173,0.5888795282224094,0.5177777777777778,0.8951214270363207,0.551044540796216,0.7064496024070492,0.43282153248338484,0.7758181499789064,0.5629812429840122,0.6807892356171177,0.43172147001934236,4165,488,651,699,18.97384641012827,29.818424121272695,62.35215725470598,116.57504581042812
Taiwan Credit Card Default,R2_F5,2,5,FrozenChi2Top75,Balanced,SoftVote,18,0.10258990002330393,0.12085659999866039,4.19510159996571,0.7237815000116825,0.8011335222537089,0.5614334470989761,0.49214659685863876,0.8897468897468898,0.5245117576723795,0.6909467433027643,0.40085899590111196,0.7667795480061748,0.5448342972606866,0.6617294793603277,0.4197353673793464,4148,514,679,658,19.886647774629104,31.205200866811136,65.16086014335723,121.75362560426738
Taiwan Credit Card Default,R3_F1,3,1,FrozenChi2Top75,Balanced,SoftVote,18,0.10328300000401214,0.12645589996827766,4.212325400032569,0.7218574000289664,0.7996332722120353,0.562012142237641,0.4817843866171004,0.8914911903738719,0.5188150520416333,0.6866377884954862,0.39509137461609795,0.7627394111153535,0.5346119128198248,0.655367481897618,0.4041676584718266,4149,505,697,648,20.036672778796465,31.65527587931322,66.51108518086347,124.60410068344724
Taiwan Credit Card Default,R3_F2,3,2,FrozenChi2Top75,Balanced,SoftVote,18,0.10563359997468069,0.12188769999193028,4.386351399996784,0.754386099986732,0.8080639786737754,0.5654362416107382,0.5152905198776758,0.8896463570515551,0.5392,0.7024684384646155,0.4190367162550604,0.7831624143776492,0.5646476679974118,0.6770718823229748,0.43739844866698196,4176,518,634,674,19.19360213262246,29.75674775074975,61.44618460513162,114.26191269576807
Taiwan Credit Card Default,R3_F3,3,3,FrozenChi2Top75,Balanced,SoftVote,18,0.10514160001184791,0.1288529000012204,4.277808899991214,0.7207858999609016,0.8114685780963494,0.5807531380753138,0.5241691842900302,0.8928342245989305,0.5510123064708218,0.7085017044444804,0.43300105387292315,0.775162770408905,0.571979835627741,0.6841024683585369,0.4295857634457243,4174,501,630,694,18.853142190365062,29.354892482080345,60.86014335722621,113.36889481580263
Taiwan Credit Card Default,R3_F4,3,4,FrozenChi2Top75,Balanced,SoftVote,18,0.10515649995068088,0.14208709995727986,4.648826100048609,0.7267541000037454,0.8076666666666666,0.5794314381270903,0.515625,0.8919673539518901,0.5456692913385827,0.7037961769759451,0.42536823915991057,0.7785257405958518,0.5649295989712437,0.6781745106397344,0.4341556210112911,4153,503,651,693,19.233333333333334,30.083333333333332,62.63333333333333,116.88333333333334
Taiwan Credit Card Default,R3_F5,3,5,FrozenChi2Top75,Balanced,SoftVote,18,0.10534680000273511,0.1317022999865003,4.4418982999632135,0.7210344000486657,0.8083333333333333,0.5698560541913632,0.511787072243346,0.8915688367129135,0.5392628205128205,0.7016779544781298,0.4196649371492815,0.7834019258940638,0.5434592171045138,0.6754949331006915,0.4286822680588075,4177,508,642,673,19.166666666666668,29.866666666666667,61.96666666666667,115.46666666666667
Taiwan Credit Card Default,R4_F1,4,1,FrozenChi2Top75,Balanced,SoftVote,18,0.11119839997263625,0.13455750001594424,4.380045199999586,0.7359372000209987,0.8139379793264422,0.5919931856899489,0.5217717717717718,0.8973424774967853,0.5546687948922586,0.7095571246342786,0.43905528385661596,0.7825006210668448,0.5735376072287959,0.6842572428331095,0.4341347348205471,4187,479,637,695,18.606202067355785,29.226408802934312,61.08702900966989,114.18806268756252
