dataset,run_id,repeat,fold,model,selected_source_features,runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100
Australian Credit Approval,R4_F4,4,4,RF,11,0.6661127000115812,0.8695652173913043,0.9186046511627907,0.8777777777777778,0.8541666666666666,0.8977272727272727,0.8659722222222221,0.7193977824194553,0.9361111111111111,0.9704653402425794,0.8658917475750179,0.8347222222222221,41,7,11,79,13.043478260869565,21.014492753623188,44.927536231884055,84.78260869565217
Australian Credit Approval,R4_F4,4,4,XGB,11,0.21191740001086146,0.8405797101449275,0.8953488372093024,0.8555555555555555,0.8125,0.875,0.8340277777777778,0.6566040480906223,0.913425925925926,0.9491096179462136,0.8337498958853842,0.7291666666666667,39,9,13,77,15.942028985507246,25.36231884057971,53.6231884057971,100.72463768115942
Australian Credit Approval,R4_F5,4,5,LR,11,0.03590680001070723,0.8623188405797102,0.9,0.84,0.8888888888888888,0.8689655172413793,0.8644444444444443,0.7262042061428781,0.9362962962962963,0.9225834187789556,0.8640987597877147,0.7612698412698413,56,7,12,63,13.768115942028986,22.463768115942027,48.55072463768116,92.02898550724638
Australian Credit Approval,R4_F5,4,5,RF,11,0.6085937999887392,0.8913043478260869,0.8947368421052632,0.9066666666666666,0.873015873015873,0.9006622516556292,0.8898412698412699,0.7807573371829698,0.9344973544973545,0.92080338274543,0.8896821856901438,0.813968253968254,55,8,7,68,10.869565217391305,15.942028985507246,31.159420289855074,56.52173913043478
Australian Credit Approval,R4_F5,4,5,XGB,11,0.21261959994444624,0.9130434782608695,0.92,0.92,0.9047619047619048,0.92,0.9123809523809524,0.8247619047619048,0.9415873015873016,0.9281223109958093,0.9123491395189413,0.8647619047619047,57,6,6,69,8.695652173913043,13.043478260869565,26.08695652173913,47.82608695652174
Australian Credit Approval,R5_F1,5,1,LR,11,0.02476189995650202,0.8333333333333334,0.8611111111111112,0.8266666666666667,0.8412698412698413,0.8435374149659864,0.833968253968254,0.6660362579752174,0.9134391534391535,0.9197445272763682,0.8339362898026056,0.6704761904761904,53,10,13,62,16.666666666666668,26.08695652173913,54.34782608695652,101.44927536231884
Australian Credit Approval,R5_F1,5,1,RF,11,0.6094199000508524,0.8043478260869565,0.8076923076923077,0.84,0.7619047619047619,0.8235294117647058,0.8009523809523809,0.6047916118572527,0.9214814814814813,0.943669167048359,0.7999999999999999,0.7282539682539683,48,15,12,63,19.565217391304348,28.26086956521739,54.34782608695652,97.82608695652173
Australian Credit Approval,R5_F1,5,1,XGB,11,0.21015399997122586,0.8405797101449275,0.8533333333333334,0.8533333333333334,0.8253968253968254,0.8533333333333334,0.8393650793650793,0.6787301587301587,0.9365079365079365,0.9532275148279853,0.8392488453007394,0.773968253968254,52,11,11,64,15.942028985507246,23.91304347826087,47.82608695652174,87.68115942028986
Australian Credit Approval,R5_F2,5,2,LR,11,0.03652279998641461,0.855072463768116,0.9154929577464789,0.8227848101265823,0.8983050847457628,0.8666666666666667,0.8605449474361726,0.7137767299630141,0.8963741686333405,0.8958147299856933,0.8597161034831707,0.7380390474147179,53,6,14,65,14.492753623188406,24.63768115942029,55.072463768115945,105.79710144927536
Australian Credit Approval,R5_F2,5,2,RF,11,0.6163283999776468,0.8840579710144928,0.8987341772151899,0.8987341772151899,0.864406779661017,0.8987341772151899,0.8815704784381034,0.7631409568762069,0.9272688264320961,0.9383133082039007,0.8814033786512712,0.7970392619609525,51,8,8,71,11.594202898550725,17.391304347826086,34.78260869565217,63.768115942028984
Australian Credit Approval,R5_F2,5,2,XGB,11,0.20868979999795556,0.8478260869565217,0.8625,0.8734177215189873,0.8135593220338984,0.8679245283018868,0.8434885217764428,0.6885298702383348,0.9225488092683973,0.9384627610206498,0.8429573710285589,0.7464063505685474,48,11,10,69,15.217391304347826,22.463768115942027,44.20289855072464,80.43478260869566
Australian Credit Approval,R5_F3,5,3,LR,11,0.04336609999882057,0.8985507246376812,0.927536231884058,0.8767123287671232,0.9230769230769231,0.9014084507042254,0.8998946259220232,0.7984442195668693,0.9580611169652264,0.9652289875407263,0.8995959753478002,0.8271865121180189,60,5,9,64,10.144927536231885,16.666666666666668,36.231884057971016,68.84057971014492
Australian Credit Approval,R5_F3,5,3,RF,11,0.6133763000252657,0.927536231884058,0.9315068493150684,0.9315068493150684,0.9230769230769231,0.9315068493150684,0.9272918861959958,0.8545837723919916,0.9443624868282403,0.9312993776666638,0.9272823066848803,0.8545837723919916,60,5,5,68,7.246376811594203,10.869565217391305,21.73913043478261,39.85507246376812
Australian Credit Approval,R5_F3,5,3,XGB,11,0.21063549997052178,0.8695652173913043,0.8767123287671232,0.8767123287671232,0.8615384615384616,0.8767123287671232,0.8691253951527924,0.7382507903055848,0.9289778714436249,0.9180318775227376,0.8690922798747146,0.7877766069546891,56,9,9,64,13.043478260869565,19.565217391304348,39.130434782608695,71.73913043478261
Australian Credit Approval,R5_F4,5,4,LR,11,0.03470509999897331,0.8985507246376812,0.9230769230769231,0.9,0.896551724137931,0.9113924050632911,0.8982758620689655,0.7931403520418913,0.9482758620689655,0.9650954034498623,0.8982742074245136,0.8060344827586207,52,6,8,72,10.144927536231885,15.942028985507246,33.333333333333336,62.31884057971015
Australian Credit Approval,R5_F4,5,4,RF,11,0.6109733000048436,0.8985507246376812,0.9125,0.9125,0.8793103448275862,0.9125,0.8959051724137931,0.7918103448275862,0.9335129310344827,0.9477558207446336,0.8957514664543801,0.8012931034482758,51,7,7,73,10.144927536231885,15.217391304347826,30.434782608695652,55.79710144927536
