attribute,group,run_id,records,observed_adverse_rate,predicted_adverse_rate,recall_tpr,false_positive_rate,specificity,precision,f1,brier,mean_calibrated_probability
sex,female,R3_F3,3604,0.20782463928967815,0.1795227524972253,0.49666221628838453,0.09632224168126094,0.9036777583187391,0.5749613601236476,0.5329512893982808,0.1285922594034494,0.20710799937581661
sex,male,R3_F3,2395,0.24008350730688935,0.2384133611691023,0.5634782608695652,0.1357142857142857,0.8642857142857143,0.5674255691768827,0.5654450261780105,0.13850061939961697,0.24538803380852456
sex,female,R3_F4,3635,0.20412654745529574,0.18404401650618982,0.49865229110512127,0.10335292084341514,0.8966470791565848,0.5530642750373692,0.5244507441530829,0.1277893874713452,0.20793193241534125
sex,male,R3_F4,2365,0.2545454545454545,0.23847780126849893,0.5514950166112956,0.13159387407827566,0.8684061259217243,0.5886524822695035,0.5694682675814752,0.1458939082202026,0.24635581016292152
sex,female,R3_F5,3625,0.20717241379310344,0.1713103448275862,0.474034620505992,0.09220598469032706,0.907794015309673,0.573268921095008,0.5189504373177842,0.12821507646685493,0.20624612879988913
sex,male,R3_F5,2375,0.2374736842105263,0.23115789473684212,0.5585106382978723,0.12921038100496962,0.8707896189950304,0.5737704918032787,0.5660377358490566,0.1430687298444287,0.24731627408272
sex,female,R4_F1,3639,0.21132179170101675,0.17202528167078868,0.4837451235370611,0.08850174216027874,0.9114982578397213,0.5942492012779552,0.5333333333333333,0.12967771412191428,0.20585981328750722
sex,male,R4_F1,2359,0.23866044934294192,0.20941076727426874,0.5364120781527532,0.10690423162583519,0.8930957683741648,0.611336032388664,0.5714285714285715,0.13690883291585795,0.23970873402005907
sex,female,R4_F2,3569,0.1994956570467918,0.16671336508826,0.5042134831460674,0.08260413020651032,0.9173958697934896,0.6033613445378151,0.5493496557000765,0.12150623431092088,0.20121852758694855
sex,male,R4_F2,2433,0.24126592683929304,0.2466091245376079,0.5536626916524702,0.14897074756229686,0.8510292524377031,0.5416666666666666,0.5475989890480202,0.14509800828127356,0.2489226047267582
