dataset,run_id,repeat,fold,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,tn,fp,fn,tp,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100,stage
German Credit,R1_F5,1,5,0.75,0.5285714285714286,0.6851851851851852,0.773972602739726,0.5967741935483871,0.7295788939624557,0.427380365920716,0.7957889396245561,0.5885740627605509,0.7282269983572972,113,33,17,37,25.0,33.5,59.0,101.5,A3_Hybrid_SoftVote
German Credit,R2_F1,2,1,0.77,0.6307692307692307,0.6507936507936508,0.8248175182481752,0.640625,0.737805584520913,0.4716925756426876,0.8126520681265207,0.7066453060193015,0.7326568118425493,113,24,22,41,23.0,34.0,67.0,122.0,A3_Hybrid_SoftVote
German Credit,R2_F2,2,2,0.76,0.4833333333333333,0.6304347826086957,0.7987012987012987,0.5471698113207547,0.7145680406549972,0.3940893189763407,0.814652738565782,0.5658233292675998,0.7095978294893778,123,31,17,29,24.0,32.5,58.0,100.5,A3_Hybrid_SoftVote
German Credit,R2_F3,2,3,0.715,0.5540540540540541,0.6307692307692307,0.7555555555555555,0.5899280575539568,0.6931623931623931,0.3747787886996013,0.7748148148148148,0.6447706072163755,0.6903486051128057,102,33,24,41,28.5,40.5,76.5,136.5,A3_Hybrid_SoftVote
German Credit,R2_F4,2,4,0.765,0.5846153846153846,0.6551724137931034,0.8098591549295775,0.6178861788617886,0.7325157843613405,0.4505230778444232,0.8050024283632831,0.6002570521063835,0.7284211538441578,115,27,20,38,23.5,33.5,63.5,113.5,A3_Hybrid_SoftVote
German Credit,R2_F5,2,5,0.755,0.6557377049180327,0.5882352941176471,0.8409090909090909,0.6201550387596899,0.714572192513369,0.441542527029114,0.7846479500891266,0.6588813138194846,0.7033152965897389,111,21,28,40,24.5,38.5,80.5,150.5,A3_Hybrid_SoftVote
German Credit,R3_F1,3,1,0.775,0.5692307692307692,0.6851851851851852,0.8082191780821918,0.6218487394957983,0.7467021816336885,0.46768423529575,0.8263571790969051,0.653674826552567,0.7441638308897206,118,28,17,37,22.5,31.0,56.5,99.0,A3_Hybrid_SoftVote
German Credit,R3_F2,3,2,0.755,0.6197183098591549,0.6666666666666666,0.7985074626865671,0.6423357664233577,0.7325870646766168,0.4571049148420398,0.7946630483943917,0.6546675701688515,0.7296151783356151,107,27,22,44,24.5,35.5,68.5,123.5,A3_Hybrid_SoftVote
German Credit,R3_F3,3,3,0.77,0.5254237288135594,0.6326530612244898,0.8145695364238411,0.5740740740740741,0.7236112988241654,0.4217690343751833,0.7780781186646843,0.5352565635656854,0.717871792730956,123,28,18,31,23.0,32.0,59.0,104.0,A3_Hybrid_SoftVote
German Credit,R3_F4,3,4,0.715,0.581081081081081,0.6231884057971014,0.7633587786259542,0.6013986013986014,0.6932735922115278,0.3805936824110186,0.7768558468857175,0.5878243018476528,0.6897219296956788,100,31,26,43,28.5,41.5,80.5,145.5,A3_Hybrid_SoftVote
German Credit,R3_F5,3,5,0.745,0.5932203389830508,0.5645161290322581,0.8260869565217391,0.5785123966942148,0.6953015427769986,0.3961279582263177,0.7861150070126226,0.6601117243317391,0.6828904823906184,114,24,27,35,25.5,39.0,79.5,147.0,A3_Hybrid_SoftVote
German Credit,R4_F1,4,1,0.78,0.6197183098591549,0.7213114754098361,0.8057553956834532,0.6666666666666666,0.7635334355466447,0.5071238168967489,0.8559971694775328,0.7191711926537372,0.7623651443238129,112,27,17,44,22.0,30.5,56.0,98.5,A3_Hybrid_SoftVote
