dataset,run_id,repeat,fold,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,tn,fp,fn,tp,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100,stage
German Credit,R4_F5,4,5,0.745,0.5660377358490566,0.5172413793103449,0.8380281690140845,0.5405405405405406,0.6776347741622146,0.3652746645917875,0.7966245750364255,0.5715192723495441,0.6583789532190165,119,23,28,30,25.5,39.5,81.5,151.5,A2_FrozenFS_BalancedXGB
German Credit,R5_F1,5,1,0.7,0.4756097560975609,0.6964285714285714,0.7013888888888888,0.5652173913043478,0.6989087301587301,0.3631710069814885,0.8208085317460317,0.6612399500523516,0.6989043295793509,101,43,17,39,30.0,38.5,64.0,106.5,A2_FrozenFS_BalancedXGB
German Credit,R5_F2,5,2,0.755,0.6666666666666666,0.6,0.8384615384615385,0.631578947368421,0.7192307692307692,0.4502167423629137,0.7968131868131868,0.6783239794247464,0.7092791573681854,109,21,28,42,24.5,38.5,80.5,150.5,A2_FrozenFS_BalancedXGB
German Credit,R5_F3,5,3,0.755,0.5806451612903226,0.6101694915254238,0.8156028368794326,0.5950413223140496,0.7128861642024282,0.419834000011256,0.8093520855872101,0.6407895908317917,0.7054473532910989,115,26,23,36,24.5,36.0,70.5,128.0,A2_FrozenFS_BalancedXGB
German Credit,R5_F4,5,4,0.715,0.5072463768115942,0.603448275862069,0.7605633802816901,0.5511811023622047,0.6820058280718795,0.3474667613614606,0.7824186498300145,0.6141952472685646,0.677466353788004,108,34,23,35,28.5,40.0,74.5,132.0,A2_FrozenFS_BalancedXGB
German Credit,R5_F5,5,5,0.775,0.603448275862069,0.6140350877192983,0.8391608391608392,0.6086956521739131,0.7265979634400688,0.4508512473568508,0.8059133848607533,0.6117732858594487,0.7178260231314589,120,23,22,35,22.5,33.5,66.5,121.5,A2_FrozenFS_BalancedXGB
German Credit,R1_F1,1,1,0.765,0.6388888888888888,0.6865671641791045,0.8045112781954887,0.6618705035971223,0.7455392211872967,0.4828840476283187,0.8517562563124228,0.7205742037480634,0.7432032204052827,107,26,21,46,23.5,34.0,65.5,118.0,A3_Hybrid_SoftVote
German Credit,R1_F2,1,2,0.75,0.4838709677419355,0.625,0.7894736842105263,0.5454545454545454,0.7072368421052632,0.3827401178155846,0.7711074561403509,0.5323199913587472,0.7024393586862705,120,32,18,30,25.0,34.0,61.0,106.0,A3_Hybrid_SoftVote
German Credit,R1_F3,1,3,0.76,0.631578947368421,0.5714285714285714,0.8467153284671532,0.6,0.7090719499478624,0.4302797198465315,0.7880894450237516,0.662621900775157,0.6955841649668708,116,21,27,36,24.0,37.5,78.0,145.5,A3_Hybrid_SoftVote
German Credit,R1_F4,1,4,0.75,0.6607142857142857,0.5441176470588235,0.8560606060606061,0.5967741935483871,0.7000891265597148,0.4222013780432871,0.7571301247771836,0.6442694729163634,0.682493723567805,113,19,31,37,25.0,40.5,87.0,164.5,A3_Hybrid_SoftVote
