dataset,run_id,repeat,fold,calibration_method,selected_source_features,mean_predicted_probability,observed_adverse_rate,brier_score,log_loss,ece_10bin,calibration_intercept,calibration_slope,roc_auc,pr_auc,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,gmean,ks_statistic,tn,fp,fn,tp
German Credit,R2_F2,2,2,Sigmoid,15,0.29833898398378556,0.23,0.1418815657710937,0.438643177694908,0.08158495897173029,-0.3447053963801169,1.1991732232797634,0.814652738565782,0.5658233292675998,0.785,0.5384615384615384,0.45652173913043476,0.8831168831168831,0.49411764705882355,0.6698193111236589,0.36075395847892977,0.6349504353380414,0.53613777526821,136,18,25,21
German Credit,R2_F2,2,2,Isotonic,15,0.29861380289022976,0.23,0.14589259247496092,0.44815596578602074,0.07391809571631666,-0.4517713742343863,1.0033904007579701,0.8067476002258611,0.5052292366360428,0.78,0.5277777777777778,0.41304347826086957,0.8896103896103896,0.4634146341463415,0.6513269339356296,0.3315219821475124,0.6061747022283944,0.49915302089215136,137,17,27,19
German Credit,R2_F3,2,3,Uncalibrated,15,0.3776258676561002,0.325,0.17854640926493853,0.5299540817487164,0.06983065172207245,-0.3467105581399112,0.8401989825041026,0.7748148148148148,0.6447706072163755,0.715,0.5540540540540541,0.6307692307692307,0.7555555555555555,0.5899280575539568,0.6931623931623931,0.37477878869960135,0.6903486051128057,0.43133903133903134,102,33,24,41
German Credit,R2_F3,2,3,Sigmoid,15,0.31139434440857455,0.325,0.1731544606383842,0.5197224720924949,0.045816945341568716,0.048634137084306535,0.9471754069672312,0.7748148148148148,0.6447706072163755,0.73,0.627906976744186,0.4153846153846154,0.8814814814814815,0.5,0.6484330484330485,0.3384543584270825,0.6051064750552966,0.43133903133903134,119,16,38,27
German Credit,R2_F3,2,3,Isotonic,15,0.32211327675895773,0.325,0.17569098054306173,0.5237440584907143,0.04604019813111651,-0.07695527736836218,0.8197514404834744,0.7691168091168091,0.6080625201882679,0.725,0.578125,0.5692307692307692,0.8,0.5736434108527132,0.6846153846153846,0.3707336495572356,0.6748219138295788,0.415954415954416,108,27,28,37
German Credit,R2_F4,2,4,Uncalibrated,15,0.36086831385390883,0.29,0.1632103814734722,0.4952180057920077,0.09462790638150195,-0.43899142172001687,0.9713110923131795,0.8050024283632831,0.6002570521063835,0.765,0.5846153846153846,0.6551724137931034,0.8098591549295775,0.6178861788617886,0.7325157843613405,0.45052307784442325,0.7284211538441578,0.5216124332200096,115,27,20,38
German Credit,R2_F4,2,4,Sigmoid,15,0.3012912145608132,0.29,0.15793085614552743,0.4806795597959293,0.07643865345472485,-0.03517120690481916,1.0584835004234667,0.8050024283632831,0.6002570521063835,0.78,0.6666666666666666,0.4827586206896552,0.9014084507042254,0.56,0.6920835356969403,0.4279816188899131,0.6596686291919382,0.5216124332200096,128,14,30,28
German Credit,R2_F4,2,4,Isotonic,15,0.30039969913619435,0.29,0.16746964563555758,0.5061617069093789,0.08513523944508616,-0.16876394413674325,0.8371029025085118,0.7969281204468189,0.5683565622719603,0.755,0.6363636363636364,0.3620689655172414,0.9154929577464789,0.46153846153846156,0.6387809616318602,0.3393148380936899,0.5757356929612643,0.494900437105391,130,12,37,21
German Credit,R2_F5,2,5,Uncalibrated,15,0.3651932448730493,0.34,0.17444876519586594,0.5152789944291706,0.09399282924119287,-0.1489031132045972,0.9905359125085285,0.7846479500891266,0.6588813138194846,0.755,0.6557377049180327,0.5882352941176471,0.8409090909090909,0.6201550387596899,0.714572192513369,0.441542527029114,0.7033152965897389,0.429144385026738,111,21,28,40
German Credit,R2_F5,2,5,Sigmoid,15,0.30006964422783816,0.34,0.1755469931504178,0.5190932788514887,0.09196881919106942,0.3152226448674436,1.1182317094781427,0.7846479500891266,0.6588813138194846,0.72,0.65,0.38235294117647056,0.8939393939393939,0.48148148148148145,0.6381461675579323,0.3272052564635805,0.5846369441852258,0.429144385026738,118,14,42,26
German Credit,R2_F5,2,5,Isotonic,15,0.30195789138046264,0.34,0.1803707489593963,0.5317508360255645,0.06303841007956515,0.1704624957057579,0.9227274076062054,0.7793560606060607,0.6225649831225744,0.72,0.65,0.38235294117647056,0.8939393939393939,0.48148148148148145,0.6381461675579323,0.3272052564635805,0.5846369441852258,0.429144385026738,118,14,42,26
German Credit,R3_F1,3,1,Uncalibrated,15,0.3563171425108383,0.27,0.1528146135967066,0.46237186950716314,0.0934798310029477,-0.48297938763233006,1.2394237520856317,0.8263571790969051,0.653674826552567,0.775,0.5692307692307692,0.6851851851851852,0.8082191780821918,0.6218487394957983,0.7467021816336885,0.46768423529575004,0.7441638308897206,0.5078640284119735,118,28,17,37
German Credit,R3_F1,3,1,Sigmoid,15,0.2981175525385317,0.27,0.1455394174119739,0.44513867000178947,0.06265045047377832,-0.001939244277293447,1.326672362923494,0.8263571790969051,0.653674826552567,0.795,0.6666666666666666,0.48148148148148145,0.910958904109589,0.5591397849462365,0.6962201927955353,0.4397458605665948,0.6622762586107339,0.5078640284119735,133,13,28,26
